NoteId,OriginalFeedback,RequirementIds,ImplementationFiles,Validation
N001,"Some forms to add nodes are so long I cannot see save button. Better create generic Steps/Wizard canvas window and split form into logical steps.","R1;R2","src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js; src/CanDoItAll.Components.CanvasLib/wwwroot/canvas-workbench.css","Phase 1 component tests passed; Phase 1 Playwright Structure_typed_file_create_dialog_accepts_uploaded_files passed; Phase 1 Playwright Structure_canvas_supports_inline_note_creation_editing_and_context_create_dialogs passed"
N002,"Standard blocks toolbox is not possible to scroll inside; layout should be more practical, more like Visual Studio toolbox.","R3","src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor.css","Phase 1 component tests passed; Phase 2 Playwright Project_structure_feedback_fixes_are_validated_in_browser passed"
N003,"Those buttons must be icons only.","R4","src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor; src/CanDoItAll.Components.CanvasLib/wwwroot/canvas-workbench.css","Phase 1 CanvasFloatingWindowTests passed; Phase 2 Playwright feedback screenshot 01 captured"
N004,"Min = minimize and Max = expand.","R4;R5","src/CanDoItAll.Components.BaseLib/Components/Identity/FontAwesomeIconCatalog.cs; src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor","Phase 1 CanvasFloatingWindowTests passed"
N005,"Reset = restart_alt.","R4;R5","src/CanDoItAll.Components.BaseLib/Components/Identity/FontAwesomeIconCatalog.cs; src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor","Phase 1 CanvasFloatingWindowTests passed"
N006,"Hide = visibility_off.","R4;R5","src/CanDoItAll.Components.BaseLib/Components/Identity/FontAwesomeIconCatalog.cs; src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor","Phase 1 CanvasFloatingWindowTests passed"
N007,"Icons in those buttons must be with black text. You must validate with screenshot that you can see the icons in those buttons.","R6","src/CanDoItAll.Web/Components/App.razor; src/CanDoItAll.Components.CanvasLib/wwwroot/canvas-workbench.css; tests/CanDoItAll.Tests.Playwright/AppSmokeTests.cs","Phase 2 Playwright Project_structure_feedback_fixes_are_validated_in_browser passed; screenshot C:\\repositories\\CanDoItAll\\output\\playwright\\feedback1\\01-window-icon-actions.png"
N008,"Toolbox:","R7;R8;R9","src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.ToolWindows.cs; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor.css","Phase 2 ProjectStructurePageTests passed; Phase 2 Playwright feedback validation passed"
N009,"Use just only that dark part as whole window. We are doubling the texts in the white background window.","R7","src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor; src/CanDoItAll.Components.CanvasLib/wwwroot/canvas-workbench.css; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor","Phase 2 CanvasFloatingWindowTests passed; Phase 2 Playwright feedback validation passed"
N010,"When I click on some section it does not open items under it. It should act as accordeon.","R8","src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.ToolWindows.cs; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor; tests/CanDoItAll.Tests.Components/ProjectStructurePageTests.cs","Phase 2 ProjectStructurePageTests passed; Phase 2 Playwright feedback validation passed"
N011,"Search is working, but I cannot scroll in results, so if there is multiple of them I cannot see others out of the scope.","R9","src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor.css; tests/CanDoItAll.Tests.Playwright/AppSmokeTests.cs","Phase 2 Playwright Project_structure_feedback_fixes_are_validated_in_browser passed; screenshot C:\\repositories\\CanDoItAll\\output\\playwright\\feedback1\\02-toolbox-accordion-search.png"
N012,"Icons in searched items do not display as icon, but as text. It must be icon.","R9","src/CanDoItAll.Components.BaseLib/Components/Identity/FontAwesomeIconCatalog.cs; src/CanDoItAll.Web/Components/App.razor; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor","Phase 2 ProjectStructurePageTests passed; Phase 2 Playwright feedback validation passed"
N013,"Nodes with files still do not have proper background colors.","R10","src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureGraphAdapter.cs; tests/CanDoItAll.Tests.Components/ProjectStructureGraphAdapterTests.cs","Phase 2 ProjectStructureGraphAdapterTests passed; Phase 2 Playwright feedback validation passed"
N014,"When I double click on pdf it still opens it behind the canvas (you must test it with maximized canvas).","R11","src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor.css; tests/CanDoItAll.Tests.Playwright/AppSmokeTests.cs","Phase 2 Playwright Project_structure_feedback_fixes_are_validated_in_browser passed; screenshot C:\\repositories\\CanDoItAll\\output\\playwright\\feedback1\\03-maximized-pdf-preview.png"
