scenario_id,platform,provider_mode,status,source_head,provider_model,fixture_ids,run_step_execution_ids,expected,observed,attempts,automatic_recoveries,human_escalations,effect_artifact_readback,evidence_path,notes
P01,,deterministic,NOT_RUN,,,,,,,,,,,,
P02,,deterministic,NOT_RUN,,,,,,,,,,,,
P03,,deterministic,NOT_RUN,,,,,,,,,,,,
P04,,deterministic,NOT_RUN,,,,,,,,,,,,
P05,,deterministic,NOT_RUN,,,,,,,,,,,,
P06,,deterministic,NOT_RUN,,,,,,,,,,,,
P07,,deterministic,NOT_RUN,,,,,,,,,,,,
P08,,deterministic,NOT_RUN,,,,,,,,,,,,
P09,,deterministic,NOT_RUN,,,,,,,,,,,,
UJ01,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
UJ02,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
UJ03,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
UJ04,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
UJ05,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
UJ06,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
UJ07,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
UJ08,,TO_BE_DECLARED,NOT_RUN,,,,,,,,,,,,
