host,editId,category,repetition,direction,utc,success,classification,firstVisibleMs,settledVisibleMs,flushedSha256
pre-fullapp,razor-1,Razor,1,forward,2026-09-07T03:27:04.515Z,True,browser-reload,9482.9317,11365.635,c8a64a37aac2f3603f67a5058c4011a42bff06c9bacd43d31c085db64bbcd096
pre-fullapp,razor-1,Razor,1,reverse,2026-09-07T03:27:16.042Z,True,browser-reload,2204.9258,3888.2531,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-1,Razor,2,forward,2026-09-07T03:27:20.874Z,True,browser-reload,2022.1498,3723.1766,c8a64a37aac2f3603f67a5058c4011a42bff06c9bacd43d31c085db64bbcd096
pre-fullapp,razor-1,Razor,2,reverse,2026-09-07T03:27:24.740Z,True,browser-reload,1789.9009,3472.9001,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-1,Razor,3,forward,2026-09-07T03:27:29.153Z,True,browser-reload,1642.7316,3343.5542,c8a64a37aac2f3603f67a5058c4011a42bff06c9bacd43d31c085db64bbcd096
pre-fullapp,razor-1,Razor,3,reverse,2026-09-07T03:27:32.643Z,True,browser-reload,1635.7105,3418.9548,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-2,Razor,1,forward,2026-09-07T03:27:37.003Z,True,browser-reload,592.4311,2259.6644,9f327ad8e0ea96f511962f5fd4d3a740b0decb6bc05dcad6369fe88d883d386a
pre-fullapp,razor-2,Razor,1,reverse,2026-09-07T03:27:39.415Z,True,browser-reload,514.4271,2297.678,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-2,Razor,2,forward,2026-09-07T03:27:42.640Z,True,browser-reload,588.144,2388.4107,9f327ad8e0ea96f511962f5fd4d3a740b0decb6bc05dcad6369fe88d883d386a
pre-fullapp,razor-2,Razor,2,reverse,2026-09-07T03:27:45.183Z,True,browser-reload,595.9916,2262.5889,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-2,Razor,3,forward,2026-09-07T03:27:48.371Z,True,browser-reload,591.5016,2258.0165,9f327ad8e0ea96f511962f5fd4d3a740b0decb6bc05dcad6369fe88d883d386a
pre-fullapp,razor-2,Razor,3,reverse,2026-09-07T03:27:50.770Z,True,browser-reload,592.2297,2358.7539,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-3,Razor,1,forward,2026-09-07T03:27:54.042Z,True,browser-reload,470.8955,2137.1244,618aba1fe9eb4709d00e79c0363c39d0712f813e9f81a3460470e11eda466a24
pre-fullapp,razor-3,Razor,1,reverse,2026-09-07T03:27:56.344Z,True,browser-reload,485.2687,2184.8083,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-3,Razor,2,forward,2026-09-07T03:27:59.464Z,True,browser-reload,830.9359,2514.7964,618aba1fe9eb4709d00e79c0363c39d0712f813e9f81a3460470e11eda466a24
pre-fullapp,razor-3,Razor,2,reverse,2026-09-07T03:28:02.131Z,True,browser-reload,981.0618,2763.2041,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,razor-3,Razor,3,forward,2026-09-07T03:28:05.832Z,True,browser-reload,530.0023,2329.1958,618aba1fe9eb4709d00e79c0363c39d0712f813e9f81a3460470e11eda466a24
pre-fullapp,razor-3,Razor,3,reverse,2026-09-07T03:28:08.307Z,True,browser-reload,537.8514,2338.0574,7824d871e1bdbbee4e39fe8275b459ea562db234b024870d545f3a19c2f58d3c
pre-fullapp,csharp-kind,C#,1,forward,2026-09-07T03:28:11.600Z,True,browser-reload,194.9235,1877.7281,dd28dfc016a0f33d60439502952ecb5f8c98fd79d069f2c7e41845a139fafea0
pre-fullapp,csharp-kind,C#,1,reverse,2026-09-07T03:28:13.684Z,True,browser-reload,94.7718,1794.3634,90eb7cdbc83c1f8df8f2c83cce6e1a44d9ecc32b8c415e67c9471fa89c2645bf
pre-fullapp,csharp-kind,C#,2,forward,2026-09-07T03:28:16.420Z,True,browser-reload,158.3571,1957.9594,dd28dfc016a0f33d60439502952ecb5f8c98fd79d069f2c7e41845a139fafea0
pre-fullapp,csharp-kind,C#,2,reverse,2026-09-07T03:28:18.514Z,True,browser-reload,98.1512,1765.1145,90eb7cdbc83c1f8df8f2c83cce6e1a44d9ecc32b8c415e67c9471fa89c2645bf
pre-fullapp,csharp-kind,C#,3,forward,2026-09-07T03:28:21.201Z,True,browser-reload,77.6769,1993.3774,dd28dfc016a0f33d60439502952ecb5f8c98fd79d069f2c7e41845a139fafea0
pre-fullapp,csharp-kind,C#,3,reverse,2026-09-07T03:28:23.331Z,True,browser-reload,146.3662,1829.2461,90eb7cdbc83c1f8df8f2c83cce6e1a44d9ecc32b8c415e67c9471fa89c2645bf
pre-fullapp,csharp-proof,C#,1,forward,2026-09-07T03:28:26.074Z,True,browser-reload,103.5632,1886.5185,9a01cdaeec223e3901c044c9714e599c57d4541046a32708b13b7d08c478e492
pre-fullapp,csharp-proof,C#,1,reverse,2026-09-07T03:28:28.093Z,True,browser-reload,85.3482,1751.7322,90eb7cdbc83c1f8df8f2c83cce6e1a44d9ecc32b8c415e67c9471fa89c2645bf
pre-fullapp,csharp-proof,C#,2,forward,2026-09-07T03:28:30.760Z,True,browser-reload,151.4254,1984.0638,9a01cdaeec223e3901c044c9714e599c57d4541046a32708b13b7d08c478e492
pre-fullapp,csharp-proof,C#,2,reverse,2026-09-07T03:28:32.916Z,True,browser-reload,162.1097,1979.4722,90eb7cdbc83c1f8df8f2c83cce6e1a44d9ecc32b8c415e67c9471fa89c2645bf
pre-fullapp,csharp-proof,C#,3,forward,2026-09-07T03:28:35.846Z,True,browser-reload,98.0167,2030.4952,9a01cdaeec223e3901c044c9714e599c57d4541046a32708b13b7d08c478e492
pre-fullapp,csharp-proof,C#,3,reverse,2026-09-07T03:28:38.039Z,True,browser-reload,154.1151,1837.7107,90eb7cdbc83c1f8df8f2c83cce6e1a44d9ecc32b8c415e67c9471fa89c2645bf
pre-fullapp,csharp-endpoint,C#,1,forward,2026-09-07T03:28:40.788Z,True,browser-reload,139.6911,2088.8074,b1a09884f164691c4def5e5658a5165aa5a01b69d058286cc548bdb31875eab2
