trialId,host,editId,category,observedEditToVisibleMs,sdkApplyMs,eventCount
pre-razor-heading-1,pre,razor-heading,Razor,13644.0815,4295,1
pre-razor-heading-2,pre,razor-heading,Razor,10336.2748,2671,1
pre-razor-heading-3,pre,razor-heading,Razor,11059.844,2428,1
pre-razor-empty-1,pre,razor-empty,Razor,11064.3276,1881,1
pre-razor-empty-2,pre,razor-empty,Razor,10361.3579,1894,1
pre-razor-empty-3,pre,razor-empty,Razor,9739.6989,1807,1
pre-razor-action-1,pre,razor-action,Razor,10852.9997,1874,1
pre-razor-action-2,pre,razor-action,Razor,11973.0349,1935,1
pre-razor-action-3,pre,razor-action,Razor,9767.9367,1940,1
pre-csharp-summary-1,pre,csharp-summary,CSharp,10647.2564,1802,1
pre-csharp-summary-2,pre,csharp-summary,CSharp,8945.8456,1831,1
pre-csharp-summary-3,pre,csharp-summary,CSharp,9580.5607,1536,1
pre-csharp-metadata-1,pre,csharp-metadata,CSharp,11207.764,1958,1
pre-csharp-metadata-2,pre,csharp-metadata,CSharp,11156.1428,1758,1
pre-csharp-metadata-3,pre,csharp-metadata,CSharp,9337.0413,1712,1
pre-csharp-team-title-1,pre,csharp-team-title,CSharp,32227.4515,2845,1
pre-csharp-team-title-2,pre,csharp-team-title,CSharp,10298.1033,1951,1
pre-csharp-team-title-3,pre,csharp-team-title,CSharp,10024.4851,1889,1
pre-css-toolbar-v2-1,pre,css-toolbar,CSS,14878.6782,6122,1
pre-css-toolbar-v2-2,pre,css-toolbar,CSS,14437.5134,5777,1
pre-css-toolbar-v2-3,pre,css-toolbar,CSS,39059.3694,5848,1
pre-css-spacing-v2-1,pre,css-spacing,CSS,18206.7987,6092,1
pre-css-spacing-v2-2,pre,css-spacing,CSS,13527.2797,5952,1
pre-css-spacing-v2-3,pre,css-spacing,CSS,14560.6904,5677,1
pre-css-tailwind-v2-1,pre,css-tailwind,CSS,10394.8335,0,1
pre-css-tailwind-v2-2,pre,css-tailwind,CSS,8157.1816,0,1
pre-css-tailwind-v2-3,pre,css-tailwind,CSS,8930.8073,0,1
post-razor-heading-1,post,razor-heading,Razor,15115.0866,4087,1
post-razor-heading-2,post,razor-heading,Razor,13020.8459,2584,1
post-razor-heading-3,post,razor-heading,Razor,12770.5086,2285,1
post-razor-empty-1,post,razor-empty,Razor,11620.6173,1720,1
post-razor-empty-2,post,razor-empty,Razor,11333.0108,1859,1
post-razor-empty-3,post,razor-empty,Razor,12383.8114,1783,1
post-razor-action-1,post,razor-action,Razor,12408.7239,1894,1
post-razor-action-2,post,razor-action,Razor,12045.0706,1868,1
post-razor-action-3,post,razor-action,Razor,11782.3032,2026,1
post-csharp-summary-1,post,csharp-summary,CSharp,12052.1376,1778,1
post-csharp-summary-2,post,csharp-summary,CSharp,11507.9064,1718,1
post-csharp-summary-3,post,csharp-summary,CSharp,12142.8214,1739,1
post-csharp-metadata-1,post,csharp-metadata,CSharp,13225.5514,1699,1
post-csharp-metadata-2,post,csharp-metadata,CSharp,12504.7958,1651,1
post-csharp-metadata-3,post,csharp-metadata,CSharp,11248.1856,1641,1
post-csharp-team-title-1,post,csharp-team-title,CSharp,11484.939,1704,1
post-csharp-team-title-2,post,csharp-team-title,CSharp,11364.9817,1680,1
post-csharp-team-title-3,post,csharp-team-title,CSharp,12891.3993,1655,1
post-css-toolbar-v2-1,post,css-toolbar,CSS,18328.2585,6919,1
post-css-toolbar-v2-2,post,css-toolbar,CSS,16345.9782,5874,1
post-css-toolbar-v2-3,post,css-toolbar,CSS,16380.9062,6392,1
post-css-spacing-v2-1,post,css-spacing,CSS,15267.9896,5693,1
post-css-spacing-v2-2,post,css-spacing,CSS,31288.0199,6453,1
post-css-spacing-v2-3,post,css-spacing,CSS,15342.718,5981,1
post-css-tailwind-v2-1,post,css-tailwind,CSS,10734.627,0,1
post-css-tailwind-v2-2,post,css-tailwind,CSS,12601.2977,0,1
post-css-tailwind-v2-3,post,css-tailwind,CSS,12783.2274,0,1
