host,trialId,editId,category,outcome,elapsedMs,mechanism
pre,pre-razor-heading-1,razor-heading,Razor,success,13644.0815,hot reload
pre,pre-razor-heading-2,razor-heading,Razor,success,10336.2748,hot reload
pre,pre-razor-heading-3,razor-heading,Razor,success,11059.844,hot reload
pre,pre-razor-empty-1,razor-empty,Razor,success,11064.3276,hot reload
pre,pre-razor-empty-2,razor-empty,Razor,success,10361.3579,hot reload
pre,pre-razor-empty-3,razor-empty,Razor,success,9739.6989,hot reload
pre,pre-razor-action-1,razor-action,Razor,success,10852.9997,hot reload
pre,pre-razor-action-2,razor-action,Razor,success,11973.0349,hot reload
pre,pre-razor-action-3,razor-action,Razor,success,9767.9367,hot reload
pre,pre-csharp-summary-1,csharp-summary,CSharp,success,10647.2564,hot reload
pre,pre-csharp-summary-2,csharp-summary,CSharp,success,8945.8456,hot reload
pre,pre-csharp-summary-3,csharp-summary,CSharp,success,9580.5607,hot reload
pre,pre-csharp-metadata-1,csharp-metadata,CSharp,success,11207.764,hot reload
pre,pre-csharp-metadata-2,csharp-metadata,CSharp,success,11156.1428,hot reload
pre,pre-csharp-metadata-3,csharp-metadata,CSharp,success,9337.0413,hot reload
pre,pre-csharp-team-title-1,csharp-team-title,CSharp,success,32227.4515,hot reload
pre,pre-csharp-team-title-2,csharp-team-title,CSharp,success,10298.1033,hot reload
pre,pre-csharp-team-title-3,csharp-team-title,CSharp,success,10024.4851,hot reload
pre,pre-css-toolbar-v2-1,css-toolbar,CSS,success,14878.6782,hot reload
pre,pre-css-toolbar-v2-2,css-toolbar,CSS,success,14437.5134,hot reload
pre,pre-css-toolbar-v2-3,css-toolbar,CSS,success,39059.3694,hot reload
pre,pre-css-spacing-v2-1,css-spacing,CSS,success,18206.7987,hot reload
pre,pre-css-spacing-v2-2,css-spacing,CSS,success,13527.2797,hot reload
pre,pre-css-spacing-v2-3,css-spacing,CSS,success,14560.6904,hot reload
pre,pre-css-tailwind-v2-1,css-tailwind,CSS,success,10394.8335,hot reload
pre,pre-css-tailwind-v2-2,css-tailwind,CSS,success,8157.1816,hot reload
pre,pre-css-tailwind-v2-3,css-tailwind,CSS,success,8930.8073,hot reload
post,post-razor-heading-1,razor-heading,Razor,success,15115.0866,hot reload
post,post-razor-heading-2,razor-heading,Razor,success,13020.8459,hot reload
post,post-razor-heading-3,razor-heading,Razor,success,12770.5086,hot reload
post,post-razor-empty-1,razor-empty,Razor,success,11620.6173,hot reload
post,post-razor-empty-2,razor-empty,Razor,success,11333.0108,hot reload
post,post-razor-empty-3,razor-empty,Razor,success,12383.8114,hot reload
post,post-razor-action-1,razor-action,Razor,success,12408.7239,hot reload
post,post-razor-action-2,razor-action,Razor,success,12045.0706,hot reload
post,post-razor-action-3,razor-action,Razor,success,11782.3032,hot reload
post,post-csharp-summary-1,csharp-summary,CSharp,success,12052.1376,hot reload
post,post-csharp-summary-2,csharp-summary,CSharp,success,11507.9064,hot reload
post,post-csharp-summary-3,csharp-summary,CSharp,success,12142.8214,hot reload
post,post-csharp-metadata-1,csharp-metadata,CSharp,success,13225.5514,hot reload
post,post-csharp-metadata-2,csharp-metadata,CSharp,success,12504.7958,hot reload
post,post-csharp-metadata-3,csharp-metadata,CSharp,success,11248.1856,hot reload
post,post-csharp-team-title-1,csharp-team-title,CSharp,success,11484.939,hot reload
post,post-csharp-team-title-2,csharp-team-title,CSharp,success,11364.9817,hot reload
post,post-csharp-team-title-3,csharp-team-title,CSharp,success,12891.3993,hot reload
post,post-css-toolbar-v2-1,css-toolbar,CSS,success,18328.2585,hot reload
post,post-css-toolbar-v2-2,css-toolbar,CSS,success,16345.9782,hot reload
post,post-css-toolbar-v2-3,css-toolbar,CSS,success,16380.9062,hot reload
post,post-css-spacing-v2-1,css-spacing,CSS,success,15267.9896,hot reload
post,post-css-spacing-v2-2,css-spacing,CSS,success,31288.0199,hot reload
post,post-css-spacing-v2-3,css-spacing,CSS,success,15342.718,hot reload
