finding_id,severity,phase,category,paths
F-001,P0,A01,Configuration paths,src/App/CanDoItAll.Web/appsettings.Development.json | src/App/CanDoItAll.Web/Properties/launchSettings.json
F-002,P0,A01,Logical path normalization,src/Foundation/CanDoItAll.Infrastructure/Storage/WorkspaceStorage.cs | src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStoragePathPolicy.cs | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Paths/WorkspacePathPolicy.cs
F-003,P0,A01,Path containment,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimePathResolver.cs
F-004,P1,A01,External path aliases,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Paths/WorkspacePathPolicy.cs
F-005,P1,A01,Path taxonomy,src/Foundation/CanDoItAll.Infrastructure | src/MAF | src/Modules/CanDoItAll.Modules.Workbench
F-006,P1,A02,Filesystem case semantics,src/Foundation/CanDoItAll.Infrastructure/Storage | tools/App/CanDoItAll.Manager | src/MAF
F-007,P1,A02,Deterministic enumeration,src/Foundation | src/MAF | tools/App/CanDoItAll.Manager
F-008,P0,A02,Symlink and reparse containment,src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStoragePathPolicy.cs | src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureLocalFileOpener.cs
F-009,P1,A02,Atomic persistence,src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStorageDriver.cs | src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs
F-010,P1,A02,Portable filenames,src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStorageDriver.cs
F-011,P0,A02,Unix permissions,src/Foundation/CanDoItAll.Infrastructure/ControlPlane | src/Modules/CanDoItAll.Modules.Security
F-012,P1,A02,File watchers,tools/App/CanDoItAll.Manager/TailwindWatchSupervisorService.cs
F-013,P0,A03,Host-bound persisted paths,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileControlPlaneService.cs | src/Foundation/CanDoItAll.Infrastructure/ControlPlane/FileApplicationPreferences.cs | src/Foundation/CanDoItAll.Infrastructure/Storage/Persistence/StorageBootstrapCatalogPolicy.cs
F-014,P1,A03,Application data roots,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/ControlPlanePaths.cs | src/Foundation/CanDoItAll.Infrastructure/Configuration/AppOptions.cs
F-015,P0,A04,Secret provider selection,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs
F-016,P0,A04,File vault master key,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs
F-017,P0,A04,Data Protection key ring,src/Foundation/CanDoItAll.Infrastructure/DependencyInjection/InfrastructureServiceCollectionExtensions.cs
F-018,P0,A04,Secret migration graph,src/Modules/CanDoItAll.Modules.Security/SecurityModels.cs | src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileControlPlaneService.cs | src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs
F-019,P1,A04,Secret write durability,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs
F-020,P0,A05,Composition truthfulness,src/App/CanDoItAll.Web/Program.cs | src/Modules/CanDoItAll.Modules.Security/SecurityModuleServiceCollectionExtensions.cs
F-021,P1,A05,Platform abstractions,src/Foundation | src/MAF | tools/App
F-022,P0,A07,CI,.github/workflows-disabled/ci.yml
F-023,P1,A06,Installation,tools/install/Install-CanDoItAllWebApp.ps1
F-041,P2,positive,Portable foundation,CanDoItAll.slnx | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs
F-042,P2,positive,Current architecture,src/Processes | src/Processes/Drivers | src/Foundation/CanDoItAll.Security.Abstractions
