finding_id,severity,phase,category,paths
F-024,P1,B01,Process host,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs
F-025,P0,B01,Environment semantics,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceCommandEnvironmentPolicy.cs
F-026,P1,B01,Executable resolution,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceExecutableLocator.cs | src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/McpExecutableResolver.cs
F-027,P0,B02,Workbench runtime nodes,src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureRuntimeLauncher.cs
F-028,P1,B02,Python environments,src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureRuntimeLauncher.cs
F-029,P1,B02,Elevation,src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureRuntimeLauncher.cs
F-030,P0,B03-Remediated-Gate-R2-Pending,Process ownership,tools/App/CanDoItAll.Manager/ManagerProcessOwnership.cs | tools/App/CanDoItAll.Manager/ManagerProcessDiscoveryFactory.cs
F-031,P1,B03-Remediated-Gate-R2-Pending,Manager Windows dependency,tools/App/CanDoItAll.Manager/WindowsManagerProcessDiscovery.cs
F-032,P1,B04,MCP command policy,src/MAF/Common/CanDoItAll.AgentFramework.Core/Mcp/LocalMcpCommandPolicy.cs | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceExecutableAuthorizationPolicy.cs | src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/LocalStdioMcpProcessLauncher.cs
F-033,P1,B04,Playwright MCP setup,src/MAF/Common/CanDoItAll.AgentFramework.Core/Mcp/PlaywrightMcpLaunchResolver.cs
F-034,P1,B04,Duplicate process runners,src/MAF/Tools/CanDoItAll.AgentFramework.Tools/External/ExternalProcessToolInvoker.cs | src/Modules/CanDoItAll.Modules.AgentFramework/Services/WorkspaceExternalProcessRunner.cs | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs
F-035,P1,B04,Diagnostics leakage,src/MAF/Tools/CanDoItAll.AgentFramework.Tools/External/ExternalProcessToolInvoker.cs | src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/LocalStdioMcpEnvironmentBinder.cs | src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/LocalStdioMcpProcessLauncher.cs
F-036,P1,B05-Remediated-Gate-R3b-Pending,Docker plugin,src/plugins/Implementations/CanDoItAll.Plugin.Docker/DockerHostToolService.cs
F-037,P1,B05-Remediated-Gate-R3b-Pending,External FileTools package,src/Integration/CanDoItAll.FileTools.Integration/CanDoItAll.FileTools.Integration.csproj | src/Integration/CanDoItAll.FileTools.Integration/ConfiguredDesktopFileLauncher.cs
F-038,P0,B06,Process architecture ownership,codex/bundles/MAF-Refactor/adrs/ADR-007-process-semantics-owned-by-processes.md | src/Processes/Drivers/CanDoItAll.Processes.Drivers.Abstractions/ProcessDriverDescriptor.cs
F-039,P1,B06,Process driver platform layer,src/Processes/Drivers/CanDoItAll.Processes.Drivers.Abstractions/ProcessDriverDescriptor.cs
F-040,P1,B07,Cross-platform runtime evidence,.github/workflows-disabled/ci.yml | tests/Playwright/CanDoItAll.Tests.Playwright/PlaywrightAppFixture.cs
F-041,P2,positive,Portable foundation,CanDoItAll.slnx | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs
F-042,P2,positive,Current architecture,src/Processes | src/Processes/Drivers | src/Foundation/CanDoItAll.Security.Abstractions
F-043,P1,B01,Remediated Git process lifecycle,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceGitCommandExecutor.cs
F-044,P1,B01,Remediated workspace alias process,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Paths/WorkspacePathAliasSession.cs
F-045,P1,B01,Remediated process host lifetime,src/MAF/Common/CanDoItAll.AgentFramework.Hosting/AgentFrameworkServiceCollectionExtensions.cs | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Runtime/WorkspaceRuntimeServices.cs | src/Modules/CanDoItAll.Modules.AgentFramework/Services/AgentFrameworkModuleServiceCollectionExtensions.cs
F-046,P1,B03-Remediated-Gate-R2-Pending,Manager duplicate runners,tools/App/CanDoItAll.Manager/ManagerProcessOwnership.cs | tools/App/CanDoItAll.Manager/WatchSupervisorService.cs | tools/App/CanDoItAll.Manager/TailwindWatchSupervisorService.cs | tools/App/CanDoItAll.Manager/TuningExecutionAdapter.cs
F-047,P1,B03-Remediated-Gate-R2-Pending,Manager tuning command safety,tools/App/CanDoItAll.Manager/TuningExecutionAdapter.cs
F-048,P1,B05-Remediated-Gate-R3b-Pending,Docker process host lifetime,src/plugins/Implementations/CanDoItAll.Plugin.Docker/DockerHostToolService.cs
F-049,P2,core-delegated,Native secret helper process,src/Modules/CanDoItAll.Modules.Security/NativeSecretVaults.cs
