requirement_id,priority,owner_subbundle,status
RPREP-001,P0,B00,Planned
RPREP-002,P0,B00,Planned
RPREP-003,P0,B00,Planned
RPREP-004,P1,B00,Planned
EXEC-001,P0,B01,Planned
EXEC-002,P0,B01,Planned
EXEC-003,P0,B01,Planned
EXEC-004,P0,B01,Planned
EXEC-005,P0,B01,Planned
EXEC-006,P0,B01,Planned
EXEC-007,P1,B01,Planned
EXEC-008,P1,B01,Planned
NODE-001,P0,B02,Planned
NODE-002,P0,B02,Planned
NODE-003,P0,B02,Planned
NODE-004,P1,B02,Planned
NODE-005,P0,B02,Planned
NODE-006,P1,B02,Planned
NODE-007,P1,B02,Planned
NODE-008,P0,B02,Planned
MGR-001,P0,B03,Planned
MGR-002,P1,B03,Planned
MGR-003,P0,B03,Planned
MGR-004,P0,B03,Planned
MGR-005,P0,B03,Planned
MGR-006,P1,B03,Planned
MGR-007,P1,B03,Planned
MCP-001,P0,B04,Planned
MCP-002,P0,B04,Planned
MCP-003,P1,B04,Planned
MCP-004,P0,B04,Planned
MCP-005,P1,B04,Planned
TOOL-001,P0,B04,Planned
TOOL-002,P0,B04,Planned
PLUG-001,P0,B05,Planned
PLUG-002,P1,B05,Planned
PLUG-003,P0,B05,Planned
PLUG-004,P1,B05,Planned
PLUG-005,P1,B05,Planned
PROC-001,P0,B06,Planned
PROC-002,P0,B06,Planned
PROC-003,P1,B06,Planned
PROC-004,P0,B06,Planned
PROC-005,P1,B06,Planned
PROC-006,P1,B06,Planned
RCI-001,P0,B07,Planned
RCI-002,P1,B07,Planned
RCI-003,P0,B07,Planned
RCI-004,P0,B07,Planned
RCI-005,P0,B07,Planned
RCI-006,P0,B07,Planned
RCI-007,P0,B07,Planned
