sample,host,sampleKind,runId,chatSessionId,submitUtc,createdUtc,dispatchUtc,terminalUtc,createdToDispatchSeconds,submitToDispatchSeconds,alignedSubmitToDispatchSeconds,alignedSubmitToDispatchUncertaintySeconds,submitToFirstContentSeconds,submitToTerminalUiSeconds,persistedState,correlation,browserCorrelation,persistedStageCount,observedUiStages
native-after-01,native,warm-fresh,e2db385d-93ab-49e6-932e-f16f146f2ec2,2e462db2-d860-4a6f-8b4a-58224d17f73d,2026-08-31T16:28:04.820Z,2026-08-31T16:28:05.1013032+00:00,2026-08-31T16:28:11.4229787Z,2026-08-31T16:28:14.4979572+00:00,6.321676,6.602978,6.602978,0,10.762,10.762,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",14,"['Planning', 'Framework', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Compaction', 'Execution authority', 'Model parameters', 'Session', 'Run', 'Streaming']"
native-after-02,native,warm-fresh,62860a18-823e-45c0-9473-4f91066e98f0,392b62f5-e898-4286-9e33-446e23b3bb13,2026-08-31T16:28:22.902Z,2026-08-31T16:28:23.146506+00:00,2026-08-31T16:28:29.3573057Z,2026-08-31T16:28:34.0463332+00:00,6.2108,6.455305,6.455305,0,12.4525,12.4525,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",14,"['Planning', 'Framework', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Compaction', 'Execution authority', 'Model parameters', 'Session', 'Run', 'Streaming']"
native-after-03,native,warm-fresh,d996c815-b985-45cf-88b5-a2257b0de35c,1a00f4b1-7c16-475a-9b3e-50fcd977c9f6,2026-08-31T16:28:58.010Z,2026-08-31T16:28:58.2887037+00:00,2026-08-31T16:29:04.6858989Z,2026-08-31T16:29:06.9712309+00:00,6.397195,6.675898,6.675898,0,9.9832,9.9832,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",14,"['Planning', 'Framework', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Compaction', 'Execution authority', 'Model parameters', 'Session', 'Run', 'Streaming']"
native-after-04,native,warm-fresh,9e502529-a7d9-4a93-932a-09f8f99c1b60,5275619e-367e-4604-b7b1-5eb4856faf57,2026-08-31T16:29:14.834Z,2026-08-31T16:29:15.1246385+00:00,2026-08-31T16:29:21.3479525Z,2026-08-31T16:29:23.426059+00:00,6.223314,6.513952,6.513952,0,9.6731,9.6732,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",14,"['Planning', 'Framework', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Compaction', 'Execution authority', 'Model parameters', 'Session', 'Run', 'Streaming']"
native-after-05,native,warm-fresh,2aee99c4-2285-4e4f-affd-9836d29838db,e3075e05-90d2-4c1b-ac08-0c28b90f00e8,2026-08-31T16:29:48.183Z,2026-08-31T16:29:48.4314041+00:00,2026-08-31T16:29:54.7687225Z,2026-08-31T16:29:57.6921483+00:00,6.337318,6.585722,6.585722,0,10.5125,10.5125,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",14,"['Planning', 'Framework', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Compaction', 'Execution authority', 'Model parameters', 'Session', 'Run', 'Streaming']"
native-after-continuation,native,continuation,3bab678e-0b27-4441-ade3-fbef7bda6406,e3075e05-90d2-4c1b-ac08-0c28b90f00e8,2026-08-31T16:30:29.830Z,2026-08-31T16:30:30.1869585+00:00,2026-08-31T16:30:35.1775079Z,2026-08-31T16:30:37.3791163+00:00,4.990549,5.347507,5.347507,0,8.5879,8.5879,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",14,[]
native-after-first,native,first-after-start,67be2ddd-cb7e-4403-a97d-9ecafe6e6722,7d85979a-660a-404b-b963-35880e9bbc99,2026-08-31T16:27:24.435Z,2026-08-31T16:27:24.8417888+00:00,2026-08-31T16:27:32.9483802Z,2026-08-31T16:27:36.6620769+00:00,8.106591,8.51338,8.51338,0,13.6146,13.6147,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",14,"['Planning', 'Framework', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Compaction', 'Execution authority', 'Model parameters', 'Session', 'Run', 'Streaming']"
client-after-01,client,warm-fresh,2be3bd81-1fca-4130-9720-b7255d5b24cf,d894e8e7-5f65-437a-bd17-69bae50713c9,2026-08-31T16:32:10.716Z,2026-08-31T16:32:11.4234708+00:00,2026-08-31T16:32:35.0547053Z,2026-08-31T16:32:42.6449246+00:00,23.631234,24.338705,24.338993,0.10824285,38.2085,38.2086,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",13,"['Planning', 'Framework', 'Approval policy', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Capability compatibility', 'Compaction', 'Model parameters', 'Session', 'Run', 'Streaming']"
client-after-02,client,warm-fresh,740e8083-3427-470d-8622-d2a8cedabfcd,d1ec203e-ee57-4a72-bd6d-d9019de888de,2026-08-31T16:33:09.798Z,2026-08-31T16:33:10.5028359+00:00,2026-08-31T16:33:32.86733Z,2026-08-31T16:33:38.8722404+00:00,22.364494,23.06933,23.069618,0.10824285,35.0732,35.0732,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",13,"['Planning', 'Framework', 'Approval policy', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Capability compatibility', 'Compaction', 'Model parameters', 'Session', 'Run', 'Streaming']"
client-after-03,client,warm-fresh,819ee972-e4ea-4e69-bd79-d0c5a341d2a7,8e031d0d-a863-477c-b1d6-19106e60ea81,2026-08-31T16:34:08.613Z,2026-08-31T16:34:09.1451152+00:00,2026-08-31T16:34:31.5429639Z,2026-08-31T16:34:37.7338901+00:00,22.397849,22.929963,22.930251,0.10824285,35.4616,35.4616,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",13,"['Planning', 'Framework', 'Approval policy', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Capability compatibility', 'Compaction', 'Model parameters', 'Session', 'Run', 'Streaming']"
client-after-04,client,warm-fresh,6c615ccb-e891-4f4f-80cf-b5e52a43367a,c84117d6-4321-4560-beb3-9545a75ca38f,2026-08-31T16:35:05.147Z,2026-08-31T16:35:05.7272047+00:00,2026-08-31T16:35:28.176321Z,2026-08-31T16:35:35.0625039+00:00,22.449116,23.029321,23.029609,0.10824285,35.8007,35.8007,5,exact-http-parent-span-to-run-activity-span,"one matching-agent creation in the isolated sequential UI send/completion interval, with 1-second clock bracket; unique run required",13,"['Planning', 'Framework', 'Approval policy', 'Context contributors', 'Skills', 'Workspace tools', 'Runtime tool providers', 'Capability compatibility', 'Compaction', 'Model parameters', 'Session', 'Run', 'Streaming']"
