"sample","host","sampleKind","runId","chatSessionId","submitUtc","createdUtc","dispatchUtc","terminalUtc","createdToDispatchSeconds","submitToDispatchSeconds","submitToFirstContentSeconds","submitToTerminalUiSeconds","persistedState","correlation"
"native-before-01","native","warm-fresh","79f2a71f-25b8-42ee-b354-e2155250dc55","265a478e-be7a-4cfa-b7fc-6fc7c2d6d51c","2026-08-31T13:27:26.982Z","2026-08-31T13:27:27.3958335+00:00","2026-08-31T13:27:42.1119873Z","2026-08-31T13:27:47.796381+00:00","14,716154","15,129987","23,157","23,1571","5","exact-http-parent-span-to-run-activity-span"
"native-before-02","native","warm-fresh","fc98eb03-66ef-46bb-8a46-51d262b46400","6b9f4a16-1a5e-40c1-9561-68d00fb9afcb","2026-08-31T13:30:25.071Z","2026-08-31T13:30:25.538656+00:00","2026-08-31T13:30:38.3660029Z","2026-08-31T13:30:42.337709+00:00","12,827347","13,295003","19,2934","19,2934","5","exact-http-parent-span-to-run-activity-span"
"native-before-03","native","warm-fresh","439756c7-6362-4846-92d7-8a5090ffa767","dd67c68b-43c8-4282-a1cd-2be8e944b2dd","2026-08-31T13:31:03.545Z","2026-08-31T13:31:03.9475679+00:00","2026-08-31T13:31:15.9447318Z","2026-08-31T13:31:20.543256+00:00","11,997164","12,399732","19,1349","19,1349","5","exact-http-parent-span-to-run-activity-span"
"native-before-04","native","warm-fresh","29a0f36f-0a15-49ae-977a-d98a7d3e43a7","1aba9be6-2772-4284-b6f5-341dbbc9457d","2026-08-31T13:31:36.799Z","2026-08-31T13:31:37.2173675+00:00","2026-08-31T13:31:49.3702839Z","2026-08-31T13:31:53.3307664+00:00","12,152916","12,571284","18,876","18,876","5","exact-http-parent-span-to-run-activity-span"
"native-before-05","native","warm-fresh","4b4f1c74-6fbc-4af7-a647-93f900e71964","8019f71b-df90-4672-b4db-22cbca6c6c68","2026-08-31T13:32:09.909Z","2026-08-31T13:32:10.2916233+00:00","2026-08-31T13:32:21.9883298Z","2026-08-31T13:32:24.5786794+00:00","11,696706","12,07933","16,7931","16,7931","5","exact-http-parent-span-to-run-activity-span"
"native-before-continuation","native","continuation","01fa2079-b72f-41ea-803c-ae4d830f6ee6","8019f71b-df90-4672-b4db-22cbca6c6c68","2026-08-31T13:32:48.535Z","2026-08-31T13:32:48.9209204+00:00","2026-08-31T13:32:57.3884557Z","2026-08-31T13:33:00.4959638+00:00","8,467535","8,853456","14,0887","14,0887","5","exact-http-parent-span-to-run-activity-span"
"client-before-01","client","warm-fresh","8ea65472-43c8-4416-8b05-d6fd631ab057","b1eb1837-76dd-46bb-a731-17fdfb703936","2026-08-31T13:33:14.476Z","2026-08-31T13:33:15.4851661+00:00","2026-08-31T13:33:48.1887529Z","2026-08-31T13:33:56.1366598+00:00","32,703587","33,712753","49,7494","49,7495","5","exact-http-parent-span-to-run-activity-span"
"client-before-02","client","warm-fresh","1d43e606-35ed-4181-a062-3fa6186b0761","f40dc5ec-7375-483c-83ef-380513e79e38","2026-08-31T13:34:22.923Z","2026-08-31T13:34:23.6392811+00:00","2026-08-31T13:34:54.8527371Z","2026-08-31T13:35:03.4309283+00:00","31,213456","31,929737","49,2723","49,2723","5","exact-http-parent-span-to-run-activity-span"
"client-before-03","client","warm-fresh","435f6d00-021a-46b2-a695-0b0b6754850a","12876048-d6e3-438f-9c17-f74b05585252","2026-08-31T13:35:45.675Z","2026-08-31T13:35:46.3465538+00:00","2026-08-31T13:36:17.2690933Z","2026-08-31T13:36:25.9344047+00:00","30,92254","31,594093","48,5691","48,5692","5","exact-http-parent-span-to-run-activity-span"
"client-before-04","client","warm-fresh","b3aa5e80-e2dc-403b-9ef6-07583079bb41","69357fa6-bf86-4bbf-b19a-5cb1712fb6bc","2026-08-31T13:36:47.757Z","2026-08-31T13:36:48.3318004+00:00","2026-08-31T13:37:20.2002163Z","2026-08-31T13:37:29.1841791+00:00","31,868416","32,443216","49,1703","49,1703","5","exact-http-parent-span-to-run-activity-span"
"client-before-05","client","warm-fresh","15e63ab9-2493-4f2e-b990-419db9e85cf7","a1244b63-6f13-405a-97fb-f71ea1916b58","2026-08-31T13:38:01.939Z","2026-08-31T13:38:02.6815245+00:00","2026-08-31T13:38:34.3514978Z","2026-08-31T13:38:43.9802667+00:00","31,669973","32,412498","50,5723","50,5723","5","exact-http-parent-span-to-run-activity-span"
"client-before-continuation","client","continuation","c6a80db1-4c57-458d-80f9-1df865e3406c","a1244b63-6f13-405a-97fb-f71ea1916b58","2026-08-31T13:39:13.682Z","2026-08-31T13:39:14.4131923+00:00","2026-08-31T13:39:45.291528Z","2026-08-31T13:39:53.1183135+00:00","30,878336","31,609528","47,7754","47,7754","5","exact-http-parent-span-to-run-activity-span"
