Command: Historical SB27 proof transcript: native-file-hashes.txt
"Algorithm","Hash","Path"
"SHA256","33CAE2FB19D21E049A3DE02C90A8C303572A29A4F655633898165C28579915D0","C:\repositories\CanDoItAll.CognitiveMemory\src\CanDoItAll.CognitiveMemory.Contracts\CognitiveMemoryProtocolMetadata.cs"
"SHA256","110035BD566447238939D9403E27FD5CDF70FD5A9223E62E0742FA670C8376BD","C:\repositories\CanDoItAll.CognitiveMemory\src\CanDoItAll.CognitiveMemory.Service\CanDoItAll.CognitiveMemory.Service.csproj"
"SHA256","5AC7F56E2E54D01222F2A59BE98E4BD55B1916D2CADF8B6E053F96C7F1164A6A","C:\repositories\CanDoItAll.CognitiveMemory\src\CanDoItAll.CognitiveMemory.Service\CognitiveMemoryProtocolApi.cs"
"SHA256","8C4E2FF96E9B3808F54C9A50F777033899C21DEEAF0C8D2AC01E5AC083589192","C:\repositories\CanDoItAll.CognitiveMemory\src\CanDoItAll.CognitiveMemory.Service\Program.cs"
"SHA256","06FC4AE045F32CDF2958511872F44B060B9A3D84FF0600F39E91C548A1EE1248","C:\repositories\CanDoItAll.CognitiveMemory\tests\CanDoItAll.CognitiveMemory.Tests\CanDoItAll.CognitiveMemory.Tests.csproj"
"SHA256","659688B966E9ECDA84CFC07170E081051258BE39D779A892C69E7EB1212D80C6","C:\repositories\CanDoItAll.CognitiveMemory\tests\CanDoItAll.CognitiveMemory.Tests\NativeProtocolApiContractTests.cs"
"SHA256","8D6CCE83954912E86A1381176ED76915E978FDE46C8D3F39BC91DF18E7FB7EC9","C:\repositories\CanDoItAll\src\Memory\CanDoItAll.Memory.Http\HttpMemoryServiceCollectionExtensions.cs"
"SHA256","1AE613476CCEF8D398B73B76983632A162A3C5819479CEE4C26143CFA7CE5EBC","C:\repositories\CanDoItAll\src\Memory\CanDoItAll.Memory.Http\NativeRemoteMemoryProviderDriver.cs"
"SHA256","3D2413C1EB80AB6863FF92A384A2E9D33C7ACA8875BA6503766B329326E48C96","C:\repositories\CanDoItAll\tests\Memory\CanDoItAll.Memory.Tests\NativeRemoteMemoryProviderDriverTests.cs"
ExitCode: 0

