Command: PowerShell SB34 closure artifact path audit for manifest and semantic proof references
InvariantIds: SB34-RELEASE-GATE
Resolved: repo://docs/cognitive-memory/README.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\README.md
Kind: File
Resolved: repo://docs/cognitive-memory/current-state/stage-assessment.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\current-state\stage-assessment.md
Kind: File
Resolved: repo://docs/cognitive-memory/current-state/implementation-map.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\current-state\implementation-map.md
Kind: File
Resolved: repo://docs/cognitive-memory/operations/api.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\operations\api.md
Kind: File
Resolved: repo://docs/cognitive-memory/operations/provider-setup.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\operations\provider-setup.md
Kind: File
Resolved: repo://docs/cognitive-memory/operations/provider-authoring.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\operations\provider-authoring.md
Kind: File
Resolved: repo://docs/cognitive-memory/operations/release-notes-memory-provider-extraction.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\operations\release-notes-memory-provider-extraction.md
Kind: File
Resolved: repo://docs/cognitive-memory/operations/validation-and-testing.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\operations\validation-and-testing.md
Kind: File
Resolved: repo://docs/cognitive-memory/roadmap/roadmap.md
Path: C:\repositories\CanDoItAll\docs\cognitive-memory\roadmap\roadmap.md
Kind: File
Resolved: bundle://README.md
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\README.md
Kind: File
Resolved: bundle://subbundles/34-final-cleanup-docs-and-release-gate/README.md
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\subbundles\34-final-cleanup-docs-and-release-gate\README.md
Kind: File
Resolved: bundle://reviews/01-execution-report.md
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\reviews\01-execution-report.md
Kind: File
Resolved: bundle://proof/README.md
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\README.md
Kind: File
Resolved: bundle://proof/SB34/manifest.md
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\manifest.md
Kind: File
Resolved: bundle://proof/SB34/semantic-invariants.md
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\semantic-invariants.md
Kind: File
Resolved: bundle://proof/SB34/transcripts/file-size-and-hash-audit.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\file-size-and-hash-audit.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/passing-generic-memory-tests.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\passing-generic-memory-tests.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/passing-maf-memory-tests.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\passing-maf-memory-tests.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/passing-memory-component-tests.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\passing-memory-component-tests.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/passing-memory-playwright-tests.txt
Path: C:\repositories\CanDoItAll\codex\bundles\candoitall-memory-provider-extraction-bundle\proof\SB34\transcripts\passing-memory-playwright-tests.txt
Kind: File
Resolved: bundle://proof/SB34/transcripts/passing-database-runtime-switching-integration-tests.txt
