Command: generate SHA-256 before/after manifest for changed tracked files and new bundle proof artifacts
WorkingDirectory: C:\repositories\CanDoItAll
Columns: Status | BeforeSha256 | AfterSha256 | Path
M | deb91833cc29cd1403669f059e98164e7d61e8c5b0fb5b12b3f35b5da072f8b2 | b8f4ddb4da248446651cce31a4d8cdef215ca2f914ba936042de1f39b08db4a7 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/manifest.md
M | b8e5b553a5a33e2799c98314f5edaf36488401f73bdab90630fc08d47e503b84 | 33732ad4280caec5d9c7f77515a8a98163493563fbc53b4a2f5b1fa10f3b2823 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/semantic-invariants.md
A | <new> | 787b22352991e73fed6ad37087506eb2e4cf5f606f8dda5f8e6f3649e176340e | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/transcripts/branch-ancestry-rerun.txt
A | <new> | e4f9c407c5ff94942dfa8a13771901487652c4160aab1416bbb1fd412558ffa1 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/transcripts/branch-ancestry.txt
A | <new> | a6bc068885b17154997046eb89e7e41fb7619b004680ef095f526a7857158678 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/transcripts/git-fetch-origin.txt
A | <new> | 6bab8abffb741b3893fa91015350d1b023bf7a64090c7ba06a6a7f3efaa79be3 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/transcripts/git-status-rerun.txt
A | <new> | f6762eb95f9ea41cb66d1426a675b5357686eedd72f04b81d30a6b56ee9888bb | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/transcripts/git-status.txt
A | <new> | eff1bc0e6fe4a90a78a6e3c8473c0ef5576f66c5e13c0aedff6f971d630790e5 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/transcripts/residue-audit.txt
A | <new> | 10844bbfbf069d62b864667bf50232707a75ed15c467b33af7070938127b45eb | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB01/transcripts/scope-artifacts.txt
M | a59b0807ebea55d56e0942ad1125a9620fad16054c3adae252628a1ab27d2e13 | 283dc030ad7011216e5a889877a38e9efb6a380ece957c3d72311855c109c3a4 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB02/manifest.md
M | 1a5fffec387232b5beba4b6c586f6936986d0d4b1cf560ca53f12191c0117af6 | e6c02e58459c7074a92d1695117bd7c9941c31929ce86ac34f2249586c4c3210 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB02/semantic-invariants.md
A | <new> | 137d569792e47319e05b859081d22e3f5d8ebb74663b256f51fd45effba94fc4 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB02/transcripts/managed-files-runtime-profile-test-rerun.txt
A | <new> | b630268cc3aaa334230cf3fdfe66aae8259e4ec2ec9bed1ea0bf442e0ae43d78 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB02/transcripts/managed-files-runtime-profile-test.txt
A | <new> | e5b76a97a7ad93f8c4fb61aa09c43b06a64e327a7d6a20fcc968928d77ba2dca | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB02/transcripts/playwright-runtime-pending-switch-rerun.txt
A | <new> | 530ec7c08f631fa447e67552d7fa2e140f2db45e20c710b6b7d2c66241856f24 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB02/transcripts/playwright-runtime-pending-switch.txt
A | <new> | 24f05d9bad43354c5045164cbba84064dcd062f3633f171e37ed775c6ca64574 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB02/transcripts/unit-runtime-switch-tests.txt
M | 96a1f8722450d2ca2bc88af774bcf83b21116687a160f7a1c5d4980c5504006e | b4ed03cfa9e578d7de0baa0e0d8f6e1eb6855d39e83a7f56079d5b902fdf3785 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB03/manifest.md
M | 7f8df5bbf7dfdf3fe142976350b9dceec433573775f03ec06da717f2105f9a7e | f09e0ef9ab1f63670d10ca9af283926feafbeb38cdea265de0d36a5fa9deab0d | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB03/semantic-invariants.md
A | <new> | 94da4b01af0c0eb94205bd7ff6870aef78ba84db9a5c013de7bfbbd4e24d5e96 | codex/bundles/db-postgres-canonicality-and-throughput/proof/SB03/transcripts/residue-and-switch-audit-final.txt
