"DiscoveryFile","Pattern","RepositoryPath","LineNumber","Scope","Liveness","Usage","Match"
"agent-pipeline.txt","ChatClientAgentOptions","tests\Unit\CanDoItAll.Tests.Unit\ManagedSeedExecutionCredentialBoundaryTests.cs","78","test","live-test","test-reference","var options = new ChatClientAgentOptions"
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\machine\migration-tasks.json","58","documentation","documentation","documentation-reference","""all ChatClientAgentOptions construction"""
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\machine\migration-tasks.json","290","documentation","documentation","documentation-reference","""ChatClientAgentOptions"","
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\shared-prompts\discovery-prompt.md","6","documentation","documentation","documentation-reference","Run the included discovery script, inspect every provider factory, ChatClientAgentOptions construction, custom chat-client stack, approval/session store, response snapshot/merge path, workflow checkpoint bridge, A2A mapping, Harness/FileAccess/AGUI/declarative/compaction/ToolApprovalAgent/MessageInjection/FileMemory/CodeAct/Cosmos/Responses-hosting match, and all direct/transitive MAF package references."
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\analysis\10-provider-pipeline-and-middleware.md","5","documentation","documentation","documentation-reference","MAF 1.15 approval-response binding is automatic only when `ChatClientAgent` applies its default decorators. The application currently constructs `ChatClientAgentOptions`, but the provider factory owns the final creation path."
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\analysis\03-breaking-behavior.md","84","documentation","documentation","documentation-reference","on every relevant `ChatClientAgentOptions` construction."
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\analysis\02-impact-matrix.md","13","documentation","documentation","documentation-reference","| Approval-response binding enabled by default | `ChatClientAgentOptions` does not opt out in inspected construction | Security/state | Keep enabled; test effective provider pipeline and cross-version state | P0 | Inference |"
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\analysis\01-current-state.md","51","documentation","documentation","documentation-reference","`MafRuntimeAgentFactory` creates `ChatClientAgentOptions` with:"
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\subbundles\02-package-alignment-and-compilation\README.md","39","documentation","documentation","documentation-reference","- every `ChatClientAgentOptions` construction discovered in SB01"
"agent-pipeline.txt","ChatClientAgentOptions","codex\bundles\maf-1-15-upgrade-architecture\references\02-upstream-change-index.md","27","documentation","documentation","documentation-reference","- `dotnet/src/Microsoft.Agents.AI/ChatClient/ChatClientAgentOptions.cs` at `dotnet-1.13.0` and `dotnet-1.15.0`"
