"DiscoveryFile","Scope","Usage","MatchCount"
"agent-pipeline.txt","documentation","documentation-reference","40"
"agent-pipeline.txt","production","implementation-reference","18"
"agent-pipeline.txt","test","test-reference","3"
"approvals.txt","documentation","documentation-reference","32"
"approvals.txt","production","implementation-reference","187"
"approvals.txt","repository-config","build-or-config-reference","1"
"approvals.txt","test","test-reference","80"
"custom-filetools.txt","documentation","documentation-reference","11"
"custom-filetools.txt","production","implementation-reference","857"
"custom-filetools.txt","repository-config","build-or-config-reference","73"
"custom-filetools.txt","test","test-reference","559"
"custom-filetools.txt","tooling","tooling-reference","3"
"file-harness.txt","documentation","documentation-reference","49"
"file-harness.txt","production","implementation-reference","3"
"file-harness.txt","test","test-reference","3"
"hosting-protocols.txt","documentation","documentation-reference","25"
"hosting-protocols.txt","production","implementation-reference","15"
"hosting-protocols.txt","test","test-reference","1"
"checkpointing.txt","documentation","documentation-reference","43"
"checkpointing.txt","production","implementation-reference","639"
"checkpointing.txt","repository-config","build-or-config-reference","63"
"checkpointing.txt","test","test-reference","237"
"merge-snapshot.txt","documentation","documentation-reference","15"
"merge-snapshot.txt","production","implementation-reference","8923"
"merge-snapshot.txt","repository-config","build-or-config-reference","197"
"merge-snapshot.txt","test","test-reference","927"
"merge-snapshot.txt","tooling","tooling-reference","21"
"optional.txt","documentation","documentation-reference","5"
"optional.txt","production","implementation-reference","7"
"packages.txt","documentation","documentation-reference","53"
"packages.txt","production","implementation-reference","262"
"packages.txt","repository-config","build-or-config-reference","3"
"packages.txt","test","test-reference","113"
"packages.txt","tooling","tooling-reference","3"
"sessions.txt","documentation","documentation-reference","16"
"sessions.txt","production","implementation-reference","122"
"sessions.txt","repository-config","build-or-config-reference","68"
"sessions.txt","test","test-reference","120"
"sessions.txt","tooling","tooling-reference","1"
"workflows.txt","documentation","documentation-reference","39"
"workflows.txt","production","implementation-reference","51"
"workflows.txt","test","test-reference","11"
