               StepKey                |  Status   | AttemptNumber |          CompletedResultKey          |                                                             AllowedOperations                                                              
--------------------------------------+-----------+---------------+--------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------
 architecture-review                  | Completed |             1 | b19b2c40-d7d1-4a7f-a864-cef3f406b5d1 | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 capture-ui-screenshots               | Skipped   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 capture-ui-screenshots-after-repair  | Skipped   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 execute-release-rollout              | Pending   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 execute-release-rollout-after-repair | Pending   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 feature-intake                       | Completed |             1 | 641b67a4-70be-4c75-bfc5-411e6923f3c2 | ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 implementation                       | Completed |             2 | 96b16b64-0430-4eb2-8b6d-6d543f72e399 | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 peer-review                          | Completed |             1 | 2c7d5061-6b6b-4ed9-bff6-543d51581e0d | EscalateOrDecide;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 post-release-learning                | Pending   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 post-release-learning-after-repair   | Pending   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 qa-recheck                           | Completed |             1 | 1e6ecfa7-e318-4381-bfbd-5ae18163e4b0 | CaptureRuntimeProof;LaunchRuntime;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;RunValidation;WriteManagedProcessArtifacts
 qa-validation                        | Completed |             1 | a7a2524c-7edb-44cf-8c7e-1116f3a28606 | CaptureRuntimeProof;LaunchRuntime;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;RunValidation;WriteManagedProcessArtifacts
 quality-repair                       | Completed |             1 | 9894980a-8ab0-46b2-a4be-46677c165db1 | MutateProductTarget;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;RunValidation;WriteManagedProcessArtifacts
 record-runtime-commands              | Skipped   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 record-runtime-commands-after-repair | Skipped   |             0 |                                      | ExecuteExternalAction;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 release-approval                     | Skipped   |             0 |                                      | EscalateOrDecide;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 release-approval-after-repair        | Skipped   |             0 |                                      | EscalateOrDecide;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 repair-escalation                    | Completed |             1 | 1bc8810a-20f5-47ec-8365-789aa3bd9910 | EscalateOrDecide;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 security-review                      | Skipped   |             0 |                                      | EscalateOrDecide;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
 security-review-after-repair         | Skipped   |             0 |                                      | EscalateOrDecide;ReadProcessContext;ReadProjectStructure;ReadUpstreamArtifacts;WriteManagedProcessArtifacts
(20 ��dek)

