
runId                                status         isActive currentStep            waitingCount latestSeq
-----                                ------         -------- -----------            ------------ ---------
cb18af52-506f-4677-bfb2-088514aa4f16 Completed         False                                   0     16425
327c843e-b4b1-404c-b5ca-909f222dfca0 Completed         False                                   0     16399
8dd10491-8ece-48b5-a8aa-b85e0b149084 NeedsAttention    False capture-ui-screenshots            0     16302
051dc24f-9c67-48a3-b184-b5df7572ce37 Completed         False                                   0     16274
a5020a12-d4c0-44eb-906d-095f93c428e2 Completed         False                                   0     16213
7bcd4ffc-ef6d-464e-a324-85c23a189d39 Completed         False                                   0     16189
cf73e1f5-6607-41a3-8bab-74dfe9775904 Completed         False                                   0     16133
ffd8a93c-f90b-4ed5-97aa-d3254c088546 Completed         False                                   0     16067


