-[ RECORD 1 ]--------+-------------------------------------
RunId                | e5f874f1-02b9-43c8-9c2d-ee932972e992
ClaimToken           | 50135980-bc3f-426c-af18-1baf90dbd00f
StepInstanceId       | 59f9f890-4ac1-49a9-b052-a4ead67120aa
OwnerId              | process-runtime-dispatcher
Status               | Completed
AttemptNumber        | 1
CreatedAtUtc         | 2026-07-08 16:13:53.466445+00
ExpiresAtUtc         | 2026-07-08 16:38:53.466445+00
RenewedAtUtc         | 
ResultIdempotencyKey | bcf52fb5-739b-4eef-ab4d-5f4956abd7c1
-[ RECORD 2 ]--------+-------------------------------------
RunId                | e5f874f1-02b9-43c8-9c2d-ee932972e992
ClaimToken           | 4e7c8da9-71d2-4c39-902a-58babc0a1cdf
StepInstanceId       | 3fc89640-f27e-4c38-ac05-0a304ff93313
OwnerId              | process-runtime-dispatcher
Status               | Completed
AttemptNumber        | 1
CreatedAtUtc         | 2026-07-08 16:14:17.776894+00
ExpiresAtUtc         | 2026-07-08 16:39:17.776894+00
RenewedAtUtc         | 
ResultIdempotencyKey | 753bca88-4860-4a99-97ab-a077dfba5409
-[ RECORD 3 ]--------+-------------------------------------
RunId                | e5f874f1-02b9-43c8-9c2d-ee932972e992
ClaimToken           | 194ae347-4ed0-48fb-bab0-4b3ceb243fed
StepInstanceId       | db3e7295-b523-4343-8be6-85598427385b
OwnerId              | process-runtime-dispatcher
Status               | Released
AttemptNumber        | 1
CreatedAtUtc         | 2026-07-08 16:14:42.125427+00
ExpiresAtUtc         | 2026-07-08 16:39:42.125427+00
RenewedAtUtc         | 
ResultIdempotencyKey | 
-[ RECORD 4 ]--------+-------------------------------------
RunId                | ab4a1ed8-8b1b-4974-973d-93983bf41f09
ClaimToken           | f64683ef-c8e0-42ad-8fc9-972d1cdc3412
StepInstanceId       | 4b98612d-0233-46fe-8742-3cd940ca8e72
OwnerId              | process-runtime-dispatcher
Status               | Completed
AttemptNumber        | 1
CreatedAtUtc         | 2026-07-08 16:14:45.315186+00
ExpiresAtUtc         | 2026-07-08 16:39:45.315186+00
RenewedAtUtc         | 
ResultIdempotencyKey | 6c9ccfc3-65cd-4a61-b386-bd908ba827f9
-[ RECORD 5 ]--------+-------------------------------------
RunId                | ab4a1ed8-8b1b-4974-973d-93983bf41f09
ClaimToken           | 083c6501-3bb9-4def-8e52-3a0549c9b507
StepInstanceId       | 53d370f4-04c6-4f9c-8ce0-9cd89efda764
OwnerId              | process-runtime-dispatcher
Status               | Completed
AttemptNumber        | 1
CreatedAtUtc         | 2026-07-08 16:14:57.765728+00
ExpiresAtUtc         | 2026-07-08 16:39:57.765728+00
RenewedAtUtc         | 
ResultIdempotencyKey | 5a2ae444-1030-4589-80bc-b0cb949ad703
-[ RECORD 6 ]--------+-------------------------------------
RunId                | e5f874f1-02b9-43c8-9c2d-ee932972e992
ClaimToken           | 6f539287-98b1-49b5-abc7-731c4db0d263
StepInstanceId       | db3e7295-b523-4343-8be6-85598427385b
OwnerId              | process-runtime-dispatcher
Status               | Completed
AttemptNumber        | 2
CreatedAtUtc         | 2026-07-08 16:15:48.090509+00
ExpiresAtUtc         | 2026-07-08 16:40:48.090509+00
RenewedAtUtc         | 
ResultIdempotencyKey | c82ce65c-9b33-46c3-9a8d-228318c182f6


