Command: Proof wrapper for process runtime dependency, file-size, and anti-stub architecture audits
ExitCode: 0
Invariant IDs: SB01-DRV-BOUNDARY SB02-ADAPTER-DECOMPOSITION SB03-PROMPT-DRIVER SB04-EVIDENCE-POLICY SB05-DOMAIN-LAUNCH-ISOLATION SB06-DISPATCH-DRIVER-ROUTER SB07-REGRESSION-ARCHITECTURE-PROOF

## Project reference scan: src/Processes must not reference MAF/AgentFramework
Command: rg -n "ProjectReference Include=.*(MAF|AgentFramework|Modules.AgentFramework)" src\Processes -g "*.csproj"
Result: no matches

## Source namespace scan: src/Processes must not reference AgentFramework/MAF/module wrapper
Command: rg -n "using CanDoItAll\.AgentFramework|using CanDoItAll\.Modules\.AgentFramework|CanDoItAll\.AgentFramework|Modules\.AgentFramework|MAF" src\Processes -g "*.cs" -g "*.csproj"
Result: no matches

## File-size scan: runtime integration split files
Command: Get-ChildItem src\Modules\CanDoItAll.Modules.Processes\Services\RuntimeIntegration -File | Sort-Object Length -Descending | Select-Object Name,Length

Name                                                                  Length
----                                                                  ------
AgentFrameworkProcessExecutionAdapter.ResultConversion.cs              46888
AgentFrameworkProcessLaunchExecutorResolver.cs                         32263
AgentFrameworkProcessStepBriefBuilder.cs                               30789
AgentFrameworkProcessExecutionAdapter.ManagedArtifacts.cs              27486
AgentFrameworkProcessExecutionAdapter.ProductCompletionReceipts.cs     24905
AgentFrameworkProcessExecutionAdapter.ProductCompletionParsing.cs      21517
AgentFrameworkProcessExecutionClaimRecoveryCoordinator.cs              18602
AgentFrameworkProcessExecutionAdapter.SubprocessState.cs               18464
AgentFrameworkProcessExecutionAdapter.Grounding.cs                     16610
AgentFrameworkProcessExecutionAdapter.ManagedArtifactEvidence.cs       14557
AgentFrameworkProcessExecutionAdapter.cs                               14117
AgentFrameworkProcessRuntimeUsageTelemetryReader.cs                    13940
AgentFrameworkProcessExecutionAdapter.ProductCompletionPaths.cs        11739
AgentFrameworkProcessRuntimeStepAssignmentRepairService.cs             10878
AgentFrameworkProcessExecutionClaimRecoveryReconciler.cs               10229
AgentFrameworkProcessExecutionAdapter.Metadata.cs                       9464
AgentFrameworkProcessExecutionObservationReader.cs                      9237
AgentFrameworkProcessExecutionAdapter.Subprocess.cs                     8431
AgentFrameworkProcessExecutionAdapter.ProductCompletionRetryPolicy.cs   7784
AgentFrameworkProcessRuntimeCancellationObserver.cs                     7188
AgentFrameworkProcessExecutionAdapter.RecoveryPolicy.cs                 5155
AgentFrameworkProcessExecutionAdapter.Results.cs                        5117
AgentFrameworkProcessExecutionRecoveryObserver.cs                       4900
AgentFrameworkProcessExecutionAdapter.ProductCompletionState.cs         4660
AgentFrameworkProcessExecutionAdapter.Types.cs                          4128
AgentFrameworkProcessExecutionClaimRecoveryWorker.cs                    3223
AgentFrameworkProcessExecutionAdapter.CompletionIssueResults.cs         2698
StandardProcessRuntimeStrategyFactoryResolver.cs                        1813
StandardProcessLaunchDriverCatalogProvider.cs                           1630
ProcessProviderReadinessRules.cs                                        1376



## Anti-stub scan
Command: rg -n "TODO|NotImplemented|throw new NotImplementedException|fixture|hardcoded|temporary|stub" src\Modules\CanDoItAll.Modules.Processes\Services\RuntimeIntegration src\Processes\CanDoItAll.Processes.Application src\Processes\Drivers -g "*.cs"
src\Modules\CanDoItAll.Modules.Processes\Services\RuntimeIntegration\AgentFrameworkProcessExecutionAdapter.Grounding.cs:370:            "temporary failure",

