Command: powershell -NoProfile -File .\codex\bundles\processes-hardening-followup-template-ui-readiness-v8\scripts\audit-template-governance.ps1 -RequireTypedContracts
Templates: 21
Steps: 147
Steps missing typed contracts: 95
Steps missing migration plan: 0

TemplateKey                            StepKey                              PlannedMigration SourcePath
-----------                            -------                              ---------------- ----------
dotnet-solution-setup                  scaffold-contract                    SB06             repo://Templates/Proces...
dotnet-solution-setup                  create-dotnet-project                SB06             repo://Templates/Proces...
dotnet-solution-setup                  add-test-project                     SB06             repo://Templates/Proces...
dotnet-solution-setup                  validate-first-build                 SB06             repo://Templates/Proces...
dotnet-solution-setup                  setup-handoff                        SB06             repo://Templates/Proces...
dotnet-feature-function-implementation feature-slice-intake                 SB06             repo://Templates/Proces...
dotnet-feature-function-implementation implementation-approach              SB06             repo://Templates/Proces...
dotnet-feature-function-implementation test-contract                        SB06             repo://Templates/Proces...
dotnet-feature-function-implementation code-change                          SB06             repo://Templates/Proces...
dotnet-feature-function-implementation targeted-validation                  SB06             repo://Templates/Proces...
dotnet-feature-function-implementation feature-handoff                      SB06             repo://Templates/Proces...
dotnet-development-slice               slice-intake                         SB06             repo://Templates/Proces...
dotnet-development-slice               slice-architecture-check             SB06             repo://Templates/Proces...
dotnet-development-slice               prepare-solution-skeleton            SB06             repo://Templates/Proces...
dotnet-development-slice               implement-code-change                SB06             repo://Templates/Proces...
dotnet-development-slice               add-tests-and-proof                  SB06             repo://Templates/Proces...
dotnet-development-slice               slice-handoff                        SB06             repo://Templates/Proces...
app-page-screenshot                    start-app-once                       SB06             repo://Templates/Proces...
app-page-screenshot                    cleanup-and-handoff                  SB06             repo://Templates/Proces...
app-pages-screenshot-set               start-app-once-for-set               SB06             repo://Templates/Proces...
app-pages-screenshot-set               cleanup-and-set-handoff              SB06             repo://Templates/Proces...
software-delivery                      feature-intake                       SB06             repo://Templates/Proces...
software-delivery                      architecture-review                  SB06             repo://Templates/Proces...
software-delivery                      peer-review                          SB06             repo://Templates/Proces...
software-delivery                      quality-repair                       SB06             repo://Templates/Proces...
software-delivery                      security-review                      SB06             repo://Templates/Proces...
software-delivery                      security-review-after-repair         SB06             repo://Templates/Proces...
software-delivery                      release-approval                     SB06             repo://Templates/Proces...
software-delivery                      execute-release-rollout              SB06             repo://Templates/Proces...
software-delivery                      post-release-learning                SB06             repo://Templates/Proces...
software-delivery                      repair-escalation                    SB06             repo://Templates/Proces...
software-delivery                      release-approval-after-repair        SB06             repo://Templates/Proces...
software-delivery                      execute-release-rollout-after-repair SB06             repo://Templates/Proces...
software-delivery                      post-release-learning-after-repair   SB06             repo://Templates/Proces...
branching-code-review                  prepare-pull-request                 SB06             repo://Templates/Proces...
branching-code-review                  route-review-disposition             SB06             repo://Templates/Proces...
branching-code-review                  repair-pass                          SB06             repo://Templates/Proces...
branching-code-review                  validate-qa-lane                     SB06             repo://Templates/Proces...
branching-code-review                  perform-security-review              SB06             repo://Templates/Proces...
branching-code-review                  architecture-escalation              SB06             repo://Templates/Proces...
branching-code-review                  approve-merge                        SB06             repo://Templates/Proces...
branching-code-review                  approve-merge-after-qa               SB06             repo://Templates/Proces...
branching-code-review                  approve-merge-after-security         SB06             repo://Templates/Proces...
branching-code-review                  approve-merge-after-architecture     SB06             repo://Templates/Proces...
branching-code-review                  normalize-default-lane               SB06             repo://Templates/Proces...
branching-code-review                  approve-merge-after-default          SB06             repo://Templates/Proces...
branching-code-review                  capture-workflow-failure             SB06             repo://Templates/Proces...
hotfix-rollout                         activate-emergency-bridge            SB06             repo://Templates/Proces...
hotfix-rollout                         assess-blast-radius                  SB06             repo://Templates/Proces...
hotfix-rollout                         package-hotfix                       SB06             repo://Templates/Proces...
hotfix-rollout                         validate-hotfix                      SB06             repo://Templates/Proces...
hotfix-rollout                         approve-emergency-release            SB06             repo://Templates/Proces...
hotfix-rollout                         execute-emergency-rollout            SB06             repo://Templates/Proces...
hotfix-rollout                         post-incident-review                 SB06             repo://Templates/Proces...
customer-onboarding                    intake                               SB08             repo://Templates/Proces...
