"Recipe","MatchingLines","Regex"
"critical.indexof_string_no_comparison","0","\.IndexOf\(""[^""]+""\)"
"critical.substring","0","\.Substring\("
"critical.startswith_endswith_literal_no_comparison","0","\.(StartsWith|EndsWith)\(""[^""]+""\)"
"critical.contains_literal_no_comparison","0","\.Contains\(""[^""]+""\)"
"async.async_void","0","async void"
"async.blocking_candidates","1","\.Result\b|\.Wait\(|GetAwaiter\(\)\.GetResult\("
"async.task_run","0","Task\.Run\("
"async.value_task","33","\bValueTask\b"
"async.blocking_collection","0","BlockingCollection<"
"memory.case_without_culture","0","\.(ToLower|ToUpper)\(\)"
"memory.three_replace_chain","0","\.Replace\(.*\.Replace\(.*\.Replace\("
"memory.params","2","params "
"memory.linq_char","18","\.(All|Any)\(char\."
"memory.stackalloc","1","\bstackalloc\b"
"memory.byte_char_arrays","2","new (byte|char)\["
"memory.array_pool","2","ArrayPool<"
"memory.string_format","0","string\.Format\("
"memory.plus_equals_candidates","17","\+="
"memory.indexofany","0","\.IndexOfAny\("
"memory.searchvalues","0","\bSearchValues\b"
"regex.compiled","0","RegexOptions\.Compiled"
"regex.generated","0","GeneratedRegex"
"regex.new_regex","0","new Regex\("
"regex.all_regex_declarations","1","\bRegex\b"
"regex.nonbacktracking","1","RegexOptions\.NonBacktracking"
"regex.match_success_or_next","1","\.Success\b|\.NextMatch\("
"collections.static_dictionary","0","static readonly Dictionary<"
"collections.static_frozen_dictionary","0","static readonly FrozenDictionary<"
"collections.new_list","8","new List<"
"collections.new_dictionary","3","new Dictionary<"
"collections.current_culture_comparer","0","StringComparer\.CurrentCulture"
"collections.linq_chains","139","\.(Select|Where|Cast|Take|Aggregate)\("
"collections.containskey","2","\.ContainsKey\("
"collections.trygetvalue","9","\.TryGetValue\("
"io.new_httpclient","0","new HttpClient\("
"io.new_serializer_options","1","new JsonSerializerOptions"
"io.serializer_calls","28","JsonSerializer\.(Serialize|Deserialize)"
"io.json_source_generation","0","JsonSerializable|JsonSerializerContext"
"io.file_stream_constructors","0","new FileStream\("
"io.async_file_options","1","FileOptions\.Asynchronous|useAsync: true"
"io.response_headers_read","2","HttpCompletionOption\.ResponseHeadersRead"
"io.http_send_get","8","\.(SendAsync|GetAsync)\("
"io.stream_legacy_read_write","0","\.(ReadAsync|WriteAsync)\([^,]+,\s*0\s*,"
"structural.unsealed_class","0","^\s*((public|internal|private|protected|file)\s+)?(partial\s+)?class "
"structural.sealed_class","146","sealed class"
"structural.equatable","0",": IEquatable"
"inline.indexof_literal","1","\.IndexOf\("""
"inline.comparison_candidates","89","\.(StartsWith|EndsWith|Contains)\s*\("
"inline.replace","8","\.Replace\("
"inline.linq_select_where_order_group","176","\.Select|\.Where|\.OrderBy|\.GroupBy"
"inline.all_any","116","\.All|\.Any"
"inline.public_internal_class","0","public class |internal class "
"inverse.stringcomparison","73","StringComparison\."
"inverse.ordinal_comparer","22","StringComparer\.Ordinal"
"inverse.params_span","0","params (ReadOnly)?Span<"
