"Recipe","File","Line"
"async.blocking_candidates","src/MAF/ProviderHistory/CanDoItAll.AgentFramework.ProviderHistory.Application/HistoryReadConcurrency.cs","7"
"async.value_task","src/Modules/CanDoItAll.Modules.AgentFramework.ProviderManagement/SharedProviders/SharedProviderAuditedRelayStream.cs","33"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderCatalogTransportContracts.cs","193"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderRelayRuntimeContracts.cs","604"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderRelayRuntimeContracts.cs","611"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderRelayRuntimeContracts.cs","635"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Abstractions/SharedProviderPorts.cs","327"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderHttpRelayClient.cs","18"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderHttpRelayClient.cs","159"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderCatalogClient.cs","26"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderCatalogClient.cs","136"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderRelayAdapterRegistry.cs","11"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderRelayAdapterRegistry.cs","99"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderRelayAdapterRegistry.cs","106"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderRelayAdapterRegistry.cs","128"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderRelayAdapterRegistry.cs","144"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderRelayAdapterRegistry.cs","164"
"async.value_task","src/Modules/CanDoItAll.Modules.AgentFramework.ProviderManagement/SharedProviders/SharedProviderRelayApplicationService.cs","42"
"async.value_task","src/Modules/CanDoItAll.Modules.AgentFramework.ProviderManagement/SharedProviders/SharedProviderRelayApplicationService.cs","343"
"async.value_task","src/Modules/CanDoItAll.Modules.AgentFramework.ProviderManagement/SharedProviders/SharedProviderRelayApplicationService.cs","351"
"async.value_task","src/Modules/CanDoItAll.Modules.AgentFramework.ProviderManagement/SharedProviders/SharedProviderRelayApplicationService.cs","367"
"async.value_task","src/Modules/CanDoItAll.Modules.AgentFramework.ProviderManagement/SharedProviders/SharedProviderRelayApplicationService.cs","385"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSseRelayStream.cs","228"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSseRelayStream.cs","287"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSseRelayStream.cs","291"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSseRelayStream.cs","298"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSseRelayStream.cs","323"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSseRelayStream.cs","362"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSourceUriPolicy.cs","264"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSourceUriPolicy.cs","271"
"async.value_task","src/Integration/CanDoItAll.SharedProviders.Http/SharedProviderSourceUriPolicy.cs","281"
