"Suite","Name","Outcome","Message"
"unit","CanDoItAll.Tests.Unit.AgentFramework.WorkflowCatalogTests.ComponentLibraryAcceptsStructuredOutputForOllama","Failed","System.InvalidOperationException : LLM Call Component 'f2712d03-808a-433c-9e21-5af000d0d8a5' model 'llama3.2' requires a model price row on provider 'Ollama chat'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Successful_send_does_not_apply_after_same_agent_session_aba_selection","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Identity_contains_tags_without_a_separate_tags_tab","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests.Avatar_dialog_prefills_and_prepares_prompt_for_the_default_image_provider","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.CrmHr.HrAgentCompositionTests.Application_composition_seeds_identity_bound_HR_governance_agent_and_provider","Failed","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI default' requires a model price row on the provider profile."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_approval_does_not_apply_after_same_agent_session_aba_selection","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_approval_reloads_and_selects_the_exact_persisted_run","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests.Avatar_dialog_explains_when_no_default_image_provider_is_available","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogAvatarGenerationTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.ProjectStructure.ProjectStructurePageSimpleMutationTests.Generated_image_asset_failure_marks_existing_waiting_node_without_recreating_it","Failed","CanDoItAll.AgentFramework.Core.ProviderProfileValidationException : The selected provider secret reference does not exist."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Send_captures_registry_context_before_workspace_execution","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
