"Name","PreviouslyFailed","Message"
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Confirming_delete_mutates_the_agent_exactly_once","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_does_not_publish_reload_message_after_session_selection_supersedes_reload","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_reloads_and_selects_the_exact_persisted_run","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Legacy_external_workspace_root_is_migrated_with_a_binding_on_save","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Successful_send_workspace_reload_failure_hides_secret_and_does_not_restore_draft","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Deleted_agent_result_clears_selection_instead_of_selecting_another_agent","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.ProjectStructure.ProjectStructurePageSimpleMutationTests.Generated_image_asset_failure_marks_existing_waiting_node_without_recreating_it","True","CanDoItAll.AgentFramework.Core.ProviderProfileValidationException : The selected provider secret reference does not exist."
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_delegates_new_chat_only_for_the_exact_scheduler_agent_identity","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_reports_the_actual_selected_agent_to_its_page_owner","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.CrmHr.HrAgentCompositionTests.Application_composition_seeds_identity_bound_HR_governance_agent_and_provider","True","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI default' requires a model price row on the provider profile."
"CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogProjectStructureAccessTests.Save_normalizes_a_stale_mixed_project_scope_before_persistence","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogProjectStructureAccessTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_does_not_apply_after_same_agent_session_aba_selection","True","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
