command: pwsh -NoProfile -Command '$files = @(Get-ChildItem "src/Integration/CanDoItAll.SharedProviders.Abstractions" -File -Filter "*.cs"; Get-ChildItem "src/Integration/CanDoItAll.SharedProviders.Http" -File -Filter "*.cs"; Get-Item "src/Modules/CanDoItAll.Modules.Workspace/SharedProviders/SharedProviderRelayApplicationService.cs"; Get-Item "src/Modules/CanDoItAll.Modules.Workspace/SharedProviders/SharedProviderAuditedRelayStream.cs"; Get-Item "src/Modules/CanDoItAll.Modules.AgentFramework/Providers/SharedProviderImageCapabilityRelay.cs"; Get-Item "src/Modules/CanDoItAll.Modules.AgentFramework/Providers/SharedProviderRelayUsageProjectionSource.cs"; Get-ChildItem "src/App/CanDoItAll.Web/Api" -File -Filter "SharedProvider*.cs"; Get-Item "tests/Unit/CanDoItAll.Tests.Unit/SharedProviderRelayPolicyTests.cs"; Get-Item "tests/Integration/CanDoItAll.Tests.Integration/SharedProviderOpenAiCompatibilityIntegrationTests.cs"; Get-Item "tests/Integration/CanDoItAll.Tests.Integration/SharedProviderStreamingIntegrationTests.cs"); python "codex/bundles/shared-providers/scripts/validate_no_stubs.py" @($files.FullName)'
working-directory: C:\repositories\CanDoItAll
started-utc: 2026-08-25T03:24:31.391325+00:00
completed-utc: 2026-08-25T03:24:32.031704+00:00
duration-seconds: 0.640
exit-code: 1
output:
Stub audit failed:
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:873: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:877: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:878: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:913: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:916: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:919: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:965: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:969: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:970: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:1020: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:1023: placeholder exception
C:\repositories\CanDoItAll\tests\Integration\CanDoItAll.Tests.Integration\SharedProviderStreamingIntegrationTests.cs:1026: placeholder exception

stderr:
