
Lines Path
----- ----
  261 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Runtime\McpSetupTestService.cs
  205 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp.Abstractions\Mcp.cs
  147 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Descriptors\McpDescriptorFactory.cs
   93 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Fakes\FakeMcpServerScript.cs
   69 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Diagnostics\McpDiagnostics.cs
   53 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Descriptors\McpExposureDescriptorFactory.cs
   21 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Runtime\McpSetupException.cs
   15 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\CanDoItAll.AgentFramework.Mcp.csproj
   13 C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp.Abstractions\CanDoItAll.AgentFramework.Mcp.Abstracti…

