"Lines","Path"
"957","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.cs"
"651","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Mcp.cs"
"441","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.RuntimeToolProviders.cs"
"400","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Access.CatalogDescriptors.cs"
"397","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Tools.cs"
"272","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\BrowserMcpArtifactPathService.cs"
"265","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Tools\External\ExternalProcessToolInvoker.cs"
"248","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Context.cs"
"240","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Runtime\McpSetupTestService.cs"
"215","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Skills.cs"
"199","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Tools\External\ExternalHttpToolInvoker.cs"
"189","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\A2ARemoteAgentToolFactory.cs"
"189","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Loading\FileSkillLoader.cs"
"176","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Access.RuntimeToolDescriptors.cs"
"174","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Access.cs"
"165","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Access.Policies.cs"
"153","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentRuntime.Capabilities.Tools.ConfiguredWorkspace.cs"
"146","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Capabilities.Access\CapabilityAccessPolicyEvaluator.cs"
"134","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Descriptors\McpDescriptorFactory.cs"
"119","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Loading\InlineSkillLoader.cs"
"111","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Tools\Descriptors\ToolDescriptorFactory.cs"
"104","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Descriptors\SkillDescriptorFactory.cs"
"98","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\PluginStorageGateway.cs"
"97","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Maf\Runtime\Capabilities\MafAgentContextContributionProvider.cs"
"78","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Fakes\FakeMcpServerScript.cs"
"61","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Diagnostics\McpDiagnostics.cs"
"56","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Registered\RegisteredSkillResolver.cs"
"54","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Tools\External\ToolDiagnostics.cs"
"47","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Descriptors\McpExposureDescriptorFactory.cs"
"44","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Loading\SkillMarkdownParser.cs"
"42","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Tools\Setup\ToolSetupTestService.cs"
"40","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Tools\Internal\InternalToolRegistry.cs"
"40","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Diagnostics\SkillDiagnostics.cs"
"23","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Descriptors\SkillExposureDescriptorFactory.cs"
"23","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Tools\Descriptors\ToolExposureDescriptorFactory.cs"
"15","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Mcp\Runtime\McpSetupException.cs"
"15","C:\repositories\CanDoItAll\src\CanDoItAll.AgentFramework.Skills\Registered\RegisteredSkillRegistry.cs"
