Inventory Id,Category,Project,Relative Path,Absolute Path,Line,Current Match,Current Token,Token Kind,Current State,Decision,Proposed Material Icon,Migration Status,Owner Subbundle,Validation Notes
ICON-001,icon-token-assignment,CanDoItAll.Components.Sandbox,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\SandboxCanvasSamples.cs,169,"Icon = ""WB"",",WB,shorthand badge,Token source or pass-through icon assignment needs mapping review.,Mapped,dashboard,Completed,04 Non-canvas app and module icon adoption,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-002,icon-token-assignment,CanDoItAll.Components.Sandbox,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\SandboxCanvasSamples.cs,194,"Icon = ""FD"",",FD,shorthand badge,Token source or pass-through icon assignment needs mapping review.,Mapped,palette,Completed,04 Non-canvas app and module icon adoption,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-003,icon-token-assignment,CanDoItAll.Components.Sandbox,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\SandboxCanvasSamples.cs,217,"Icon = ""IN"",",IN,shorthand badge,Token source or pass-through icon assignment needs mapping review.,Mapped,input,Completed,04 Non-canvas app and module icon adoption,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-004,icon-token-assignment,CanDoItAll.Components.Sandbox,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\SandboxCanvasSamples.cs,240,"Icon = ""FB"",",FB,shorthand badge,Token source or pass-through icon assignment needs mapping review.,Mapped,feedback,Completed,04 Non-canvas app and module icon adoption,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-005,icon-token-assignment,CanDoItAll.Components.Sandbox,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\SandboxCanvasSamples.cs,263,"Icon = ""CV"",",CV,shorthand badge,Token source or pass-through icon assignment needs mapping review.,Mapped,draw,Completed,04 Non-canvas app and module icon adoption,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-006,icon-token-assignment,CanDoItAll.Components.Sandbox,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\SandboxCanvasSamples.cs,290,"Icon = ""PR"",",PR,shorthand badge,Token source or pass-through icon assignment needs mapping review.,Mapped,photo_camera,Completed,04 Non-canvas app and module icon adoption,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-007,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,229,"Icon = ""clear"",",clear,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,clear,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-008,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,238,"Icon = ""audit"",",audit,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,fact_check,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-009,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,247,"Icon = ""flow"",",flow,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,account_tree,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-010,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,256,"Icon = ""support"",",support,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,support_agent,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-011,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,292,"Icon = ""clear"",",clear,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,clear,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-012,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,314,"Icon = ""clear"",",clear,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,clear,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-013,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,329,"Icon = ""prompt"",",prompt,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,auto_awesome,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-014,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,340,"Icon = ResolveGroupIcon(group.Key),",,none,Token source or pass-through icon assignment needs mapping review.,Mapped,Dynamic material mapping,Completed,04 Non-canvas app and module icon adoption,Expression-based icon source now renders through the shared Material icon component.
ICON-015,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,356,"Icon = ResolveBlockIcon(block.BlockKind),",,none,Token source or pass-through icon assignment needs mapping review.,Mapped,Dynamic material mapping,Completed,04 Non-canvas app and module icon adoption,Expression-based icon source now renders through the shared Material icon component.
ICON-016,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,374,"Icon = ""flow"",",flow,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,account_tree,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-017,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,383,"Icon = section.Icon,",,none,Token source or pass-through icon assignment needs mapping review.,Mapped,Dynamic material mapping,Completed,04 Non-canvas app and module icon adoption,Expression-based icon source now renders through the shared Material icon component.
ICON-018,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,394,"Icon = ""flow"",",flow,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,account_tree,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-019,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,409,"Icon = ""feature"",",feature,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,star,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-020,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,418,"Icon = section.Icon,",,none,Token source or pass-through icon assignment needs mapping review.,Mapped,Dynamic material mapping,Completed,04 Non-canvas app and module icon adoption,Expression-based icon source now renders through the shared Material icon component.
ICON-021,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,429,"Icon = ""prompt"",",prompt,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,auto_awesome,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-022,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,444,"Icon = ""file"",",file,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,insert_drive_file,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-023,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,453,"Icon = definition.Icon,",,none,Token source or pass-through icon assignment needs mapping review.,Mapped,Dynamic material mapping,Completed,04 Non-canvas app and module icon adoption,Expression-based icon source now renders through the shared Material icon component.
ICON-024,icon-token-assignment,CanDoItAll.Modules.Factory,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\PromptFactoryCanvasCatalog.cs,480,"Icon = ""clear"",",clear,named token,Token source or pass-through icon assignment needs mapping review.,Mapped,clear,Completed,04 Non-canvas app and module icon adoption,Token now resolves to a Material icon through direct source values or the shared catalog.
ICON-025,icon-token-assignment,CanDoItAll.Modules.Workbench,src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\ProjectStructureCanvasCatalog.cs,325,"Icon = group.Icon,",,none,Token source or pass-through icon assignment needs mapping review.,Mapped,Dynamic material mapping,Completed,"05 Workbench, canvas, and closure validation",Expression-based icon source now renders through the shared Material icon component.
ICON-026,icon-token-assignment,CanDoItAll.Modules.Workbench,src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\ProjectStructureCanvasCatalog.cs,343,"Icon = definition.Icon,",,none,Token source or pass-through icon assignment needs mapping review.,Mapped,Dynamic material mapping,Completed,"05 Workbench, canvas, and closure validation",Expression-based icon source now renders through the shared Material icon component.
ICON-027,icon-token-assignment,CanDoItAll.Modules.Workbench,src/CanDoItAll.Modules.Workbench/ProjectStructureSummaryModels.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\ProjectStructureSummaryModels.cs,272,"<Override PartName=""/xl/workbook.xml"" ContentType=""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml"" />",/xl/workbook.xml,expression or mixed token,Token source or pass-through icon assignment needs mapping review.,Exclude,,Excluded - false positive,"05 Workbench, canvas, and closure validation",False positive from spreadsheet path string; no icon migration required.
ICON-028,icon-token-assignment,CanDoItAll.Modules.Workbench,src/CanDoItAll.Modules.Workbench/ProjectStructureSummaryModels.cs,C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\ProjectStructureSummaryModels.cs,273,"<Override PartName=""/xl/worksheets/sheet1.xml"" ContentType=""application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml"" />",/xl/worksheets/sheet1.xml,expression or mixed token,Token source or pass-through icon assignment needs mapping review.,Exclude,,Excluded - false positive,"05 Workbench, canvas, and closure validation",False positive from spreadsheet path string; no icon migration required.
ICON-029,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppShell.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,54,"<span class=""cda-shell-nav-icon"">@item.Icon</span>",@item.Icon,dynamic expression,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,Material icon component,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-030,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppShell.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,130,"<span class=""cda-eyebrow @(isActive ? ""text-slate-200"" : ""text-slate-500"")"">@item.Icon</span>",@item.Icon,dynamic expression,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,Material icon component,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-031,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppTabStrip.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,45,"<span class=""cda-tab-menu__badge"">zZ</span>",zZ,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,bedtime,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-032,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppTabStrip.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,196,"<span class=""text-[9px] font-semibold uppercase text-sky-400"">pin</span>",pin,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,pin,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-033,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppTabStrip.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,201,"<button type=""button"" class=""cda-inline-tab__action"" title=""Move left"" @onclick=""() => MoveLeft.InvokeAsync(tab.TabId)"">&#x2039;</button>",single_left_angle,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,single_left_angle,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-034,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppTabStrip.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,202,"<button type=""button"" class=""cda-inline-tab__action"" title=""Move right"" @onclick=""() => MoveRight.InvokeAsync(tab.TabId)"">&#x203A;</button>",single_right_angle,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,single_right_angle,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-035,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppTabStrip.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,203,"<button type=""button"" class=""cda-inline-tab__action"" title=""Pin tab"" @onclick=""() => TogglePin.InvokeAsync(tab.TabId)"">pin</button>",pin,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,pin,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-036,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppTabStrip.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,204,"<button type=""button"" class=""cda-inline-tab__action"" title=""Sleep/wake"" @onclick=""() => ToggleSleep.InvokeAsync(tab.TabId)"">zZ</button>",zZ,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,bedtime,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
ICON-037,raw-icon-markup,CanDoItAll.Components,src/CanDoItAll.Components/Components/AppTabStrip.razor,C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,207,"<button type=""button"" class=""cda-inline-tab__action"" title=""Close tab"" @onclick=""() => Close.InvokeAsync(tab.TabId)"">x</button>",x,raw glyph or text icon,Literal glyph/text icon bypasses the shared icon abstraction.,Mapped,close,Completed,03 BaseLib and legacy shared-component icon migration,Code migration complete. dotnet build passes. Browser proof still pending.
