Token,Occurrences,Token Kind,Sample Sources,Proposed Material Icon,Needs Alias In Catalog,Migration Status,Notes
QA,6,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:818; src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:836; src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:859; src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:872; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureValidationOverlay.cs:21,fact_check,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
flow,6,named token,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:247; src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:374; src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:394; src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptRunBranchLane.cs:66; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2170,account_tree,Yes,Completed,Resolved through MaterialIconCatalog alias.
fork,6,named token,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:739; src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptRunBranchLane.cs:67; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2171; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2260; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:84,call_split,Yes,Completed,Resolved through MaterialIconCatalog alias.
clear,5,named token,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:229; src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:292; src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:314; src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:480; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:112,clear,No,Completed,Direct Material icon token.
open,5,named token,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:743; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2264; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:17; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:201; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:235,open_in_new,Yes,Completed,Resolved through MaterialIconCatalog alias.
!,3,raw glyph or text icon,src/CanDoItAll.Components.CanvasLib/Canvas/Graph/Primitives/ChipBadgePrimitive.cs:51; src/CanDoItAll.Modules.Factory/CanvasAdapters/RecommendationOverlay.cs:96; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureValidationOverlay.cs:48,priority_high,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
BR,3,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptRunBranchLane.cs:21; src/CanDoItAll.Modules.Factory/CanvasAdapters/RecommendationOverlay.cs:161; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2148,call_split,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
IN,3,shorthand badge,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs:217; src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:509; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:353,input,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
SET,3,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:450; src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:794; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:298,settings,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
qa,3,named token,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:741; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2262; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:25,fact_check,Yes,Completed,Resolved through MaterialIconCatalog alias.
skip,3,named token,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:742; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2263; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:86,skip_next,Yes,Completed,Resolved through MaterialIconCatalog alias.
summary,3,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:18; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:68; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:210,pie_chart,Yes,Completed,Resolved through MaterialIconCatalog alias.
use,3,named token,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:740; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2261; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:85,done_all,Yes,Completed,Resolved through MaterialIconCatalog alias.
x,3,raw glyph or text icon,src/CanDoItAll.Components/Components/AppTabStrip.razor:207; src/CanDoItAll.Components.BaseLib/Components/Modals/Dialog.razor:53; src/CanDoItAll.Web/Components/Layout/MainLayout.razor:255,close,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
BL,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:239; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:256,extension,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
BP,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:69; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:88,design_services,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
CP,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:143; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:160,widgets,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
FL,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:103; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:121,account_tree,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
GR,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:213; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:230,folder,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
PF,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:283; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2072,auto_awesome,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
REC,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/RecommendationOverlay.cs:118; src/CanDoItAll.Modules.Factory/CanvasAdapters/RecommendationOverlay.cs:140,auto_awesome,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
SC,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:182; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:199,grid_view,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
ST,2,shorthand badge,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:368; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor:2189,format_list_numbered,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
link,2,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:19; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:219,link,No,Completed,Direct Material icon token.
pin,2,raw glyph or text icon,src/CanDoItAll.Components/Components/AppTabStrip.razor:196; src/CanDoItAll.Components/Components/AppTabStrip.razor:203,pin,No,Completed,Direct Material icon token.
prompt,2,named token,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:329; src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:429,auto_awesome,Yes,Completed,Resolved through MaterialIconCatalog alias.
relink,2,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:20; src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:261,sync_alt,Yes,Completed,Resolved through MaterialIconCatalog alias.
session,2,named token,src/CanDoItAll.Modules.Factory/CanvasAdapters/PromptFactorySessionGraphAdapter.cs:478; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.Catalog.cs:325,web_asset,Yes,Completed,Resolved through MaterialIconCatalog alias.
visibility_off,2,named token,src/CanDoItAll.Components.CanvasLib/Components/Core/CanvasFloatingWindow.razor:35; src/CanDoItAll.Components.CanvasLib/Components/Core/CanvasFloatingWindow.razor:79,visibility_off,No,Completed,Direct Material icon token.
zZ,2,raw glyph or text icon,src/CanDoItAll.Components/Components/AppTabStrip.razor:45; src/CanDoItAll.Components/Components/AppTabStrip.razor:204,bedtime,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
->,1,raw glyph or text icon,src/CanDoItAll.Components.CanvasLib/Canvas/Graph/Primitives/ChipBadgePrimitive.cs:53,arrow_forward,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
/xl/workbook.xml,1,expression or mixed token,src/CanDoItAll.Modules.Workbench/ProjectStructureSummaryModels.cs:272,,No,Excluded - false positive,False positive from spreadsheet path string; no icon migration required.
/xl/worksheets/sheet1.xml,1,expression or mixed token,src/CanDoItAll.Modules.Workbench/ProjectStructureSummaryModels.cs:273,,No,Excluded - false positive,False positive from spreadsheet path string; no icon migration required.
CV,1,shorthand badge,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs:263,draw,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
FB,1,shorthand badge,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs:240,feedback,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
FD,1,shorthand badge,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs:194,palette,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
OK,1,shorthand badge,src/CanDoItAll.Components.CanvasLib/Canvas/Graph/Primitives/ChipBadgePrimitive.cs:52,check_circle,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
PR,1,shorthand badge,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs:290,photo_camera,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
ResolveAttachmentDisplayName,1,expression or mixed token,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor:148,,No,Excluded - false positive,False positive from method identifier text; no icon migration required.
WB,1,shorthand badge,src/CanDoItAll.Components.Sandbox/SandboxCanvasSamples.cs:169,dashboard,No,Completed,Legacy shorthand or raw glyph replaced with a direct Material icon.
action.Icon or >,1,expression or mixed token,src/CanDoItAll.Components.CanvasLib/Components/Graph/Overlays/ContextMenuHost.razor:16,,No,Excluded - false positive,Legacy inventory expression capture; live source now uses the shared Icon component.
ai,1,named token,src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs:64,smart_toy,Yes,Completed,Resolved through MaterialIconCatalog alias.
audit,1,named token,src/CanDoItAll.Modules.Factory/PromptFactoryCanvasCatalog.cs:238,fact_check,Yes,Completed,Resolved through MaterialIconCatalog alias.
