component_name,relative_path,category,consumer_usage_count,example_usages,note
AccessibilityMirrorLayer,src/CanDoItAll.Components.CanvasLib/Components/AccessibilityMirrorLayer.razor,shared-runtime,5,src/CanDoItAll.Components.CanvasLib/Components/CanvasCalendar.razor; src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbench.razor; src/CanDoItAll.ComponentKit/Components/CanvasCalendar.razor; src/CanDoItAll.ComponentKit/Components/CanvasWorkbench.razor; tests/CanDoItAll.Tests.Components/AccessibilityMirrorLayerTests.cs,Shared runtime infrastructure used by multiple consumers.
CalendarCrudBridge,src/CanDoItAll.Components.CanvasLib/Components/CalendarCrudBridge.razor,calendar,1,src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor,Calendar-specific component; keep separate from workbench runtime.
CalendarEventEditorModal,src/CanDoItAll.Components.CanvasLib/Components/CalendarEventEditorModal.razor,calendar,1,src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor,Calendar-specific component; keep separate from workbench runtime.
CalendarExportMenu,src/CanDoItAll.Components.CanvasLib/Components/CalendarExportMenu.razor,calendar,2,src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor; src/CanDoItAll.Components.Sandbox/Components/Pages/Canvas.razor,Calendar-specific component; keep separate from workbench runtime.
CalendarMiniMonthNavigator,src/CanDoItAll.Components.CanvasLib/Components/CalendarMiniMonthNavigator.razor,calendar,2,src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor; src/CanDoItAll.Components.Sandbox/Components/Pages/Canvas.razor,Calendar-specific component; keep separate from workbench runtime.
CalendarSelectionPanel,src/CanDoItAll.Components.CanvasLib/Components/CalendarSelectionPanel.razor,calendar,3,src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor; src/CanDoItAll.Components.Sandbox/Components/Pages/Canvas.razor; tests/CanDoItAll.Tests.Components/CalendarBoundaryPreviewTests.cs,Calendar-specific component; keep separate from workbench runtime.
CalendarTimeGridRenderer,src/CanDoItAll.Components.CanvasLib/Components/CalendarTimeGridRenderer.razor,calendar,3,src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor; src/CanDoItAll.Components.Sandbox/Components/Pages/Canvas.razor; tests/CanDoItAll.Tests.Components/CalendarBoundaryPreviewTests.cs,Calendar-specific component; keep separate from workbench runtime.
CanvasBoundaryCard,src/CanDoItAll.Components.CanvasLib/Components/CanvasBoundaryCard.razor,preview-boundary,41,src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.Mcp.Components/Catalog/ComponentCatalogService.cs; src/CanDoItAll.Components.CanvasLib/Components/CalendarCrudBridge.razor; src/CanDoItAll.Components.CanvasLib/Components/CalendarEventEditorModal.razor,Preview/support/validation component; do not present as the canonical runtime scene renderer.
CanvasCalendar,src/CanDoItAll.Components.CanvasLib/Components/CanvasCalendar.razor,calendar,9,src/CanDoItAll.Components.Sandbox/SandboxCatalogRegistry.cs; src/CanDoItAll.Modules.Workbench/Components/ProjectEventsCalendar.razor; src/CanDoItAll.Modules.Workbench/Pages/ProjectCalendarPage.razor; src/CanDoItAll.Mcp.Components/Catalog/ComponentCatalogService.cs; src/CanDoItAll.Components.Sandbox/Components/Pages/Canvas.razor,Calendar-specific component; keep separate from workbench runtime.
CanvasFloatingWindow,src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor,shared-runtime,17,src/CanDoItAll.Components.Sandbox/SandboxCatalogRegistry.cs; src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor; src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor; src/CanDoItAll.Components.Sandbox/Components/Pages/Canvas.razor; src/CanDoItAll.ComponentKit/Components/CanvasFloatingWindow.razor,Shared runtime infrastructure used by multiple consumers.
