line,function_name,recommended_module,notes
6,getRequiredRootService,workbench/shared/utils,
14,getTextMeasureService,workbench/shared/utils,
17,getViewportControllerService,workbench/runtime/projection,
20,getAnimationTimelineService,workbench/shared/utils,
27,clear,workbench/shared/utils,
33,createElement,workbench/shared/utils,
46,createSvgElement,workbench/shared/utils,
55,normalizeInputField,workbench/state/persistence,
73,normalizeInputValue,workbench/state/persistence,
80,clamp,workbench/shared/utils,
84,debounce,workbench/shared/utils,
102,now,workbench/shared/utils,
108,createWorkbenchMetrics,workbench/shared/metrics,
138,formatMetricDuration,workbench/shared/metrics,
146,cloneWorkbenchMetrics,workbench/shared/metrics,
176,incrementMetric,workbench/shared/metrics,
184,resetLastDragPatchMetrics,workbench/shared/metrics,
194,recordDragPatchMetrics,workbench/shared/metrics,
208,round,workbench/shared/utils,
212,normalizeAction,workbench/state/persistence,
240,normalizeAnnotation,workbench/state/persistence,
252,normalizeCompactPath,workbench/state/persistence,
266,normalizeDiagnosticsOptions,workbench/state/persistence,
275,normalizeMinimapOptions,workbench/state/persistence,
282,normalizeClipboardOptions,workbench/state/persistence,
292,normalizeTooltipPopoverOptions,workbench/state/persistence,
300,normalizeMarqueeOptions,workbench/state/persistence,
310,normalizeSnapGuideOptions,workbench/state/persistence,
322,normalizeConnectorAnchorOptions,workbench/state/persistence,
332,normalizeTransformHandleOptions,workbench/state/persistence,
342,normalizeGroupFrame,workbench/state/persistence,
351,normalizeProgressPercent,workbench/state/persistence,
359,normalizeMenuActionScale,workbench/state/persistence,
367,normalizeSurface,workbench/state/persistence,
445,toSelectionSet,workbench/interaction/input-routing,
449,toCollapsedSet,workbench/shared/utils,
453,getDefaultNodeSize,workbench/runtime/projection,
458,resolveBaseNodeSize,workbench/runtime/projection,
475,estimateNodeSizeFromText,workbench/runtime/projection,
558,getNodeSize,workbench/runtime/projection,
567,buildNodeLookup,workbench/shared/utils,
585,isNodeVisible,workbench/runtime/projection,
598,getVisibleNodes,workbench/runtime/projection,Visibility/culling utility; foundational for canvas migration.
602,getProjectionOverscanPx,workbench/runtime/projection,
610,collectProjectedContextNodeIds,workbench/runtime/projection,
633,isNodeProjectedInViewport,workbench/runtime/projection,
649,getProjectedNodes,workbench/runtime/projection,Projection/culling utility; keep but move under runtime/projection.
671,getBaseNodePosition,workbench/shared/utils,
678,getNodeDepth,workbench/shared/utils,
694,getNodeMobility,workbench/shared/utils,
710,buildResolvedLayoutKey,workbench/shared/utils,
724,buildLayoutItems,workbench/shared/utils,
750,getCollisionPaddingX,workbench/shared/utils,
766,getCollisionPaddingY,workbench/shared/utils,
775,getOverlapDelta,workbench/shared/utils,
783,chooseCollisionAxis,workbench/shared/utils,
795,resolveCollisionDirection,workbench/runtime/projection,
825,applyCollisionSeparation,workbench/shared/utils,
858,enforceParentClearance,workbench/shared/utils,
890,enforceSiblingSpacing,workbench/shared/utils,
955,relaxTowardBase,workbench/shared/utils,
976,computeResolvedNodePositions,workbench/shared/utils,
1015,ensureLayoutPositions,workbench/shared/utils,
1027,getNodePosition,workbench/shared/utils,
1034,getSceneBounds,workbench/runtime/projection,
1059,clampPanToScene,workbench/runtime/projection,
1103,setPan,workbench/runtime/projection,
1109,syncMenuScaleCss,workbench/runtime/projection,
1117,serializeState,workbench/state/persistence,
1136,applySceneTransform,workbench/runtime/projection,
1140,cancelViewportAnimation,workbench/runtime/projection,
1144,updateViewportTransform,workbench/runtime/projection,
1150,animateViewportTransition,workbench/runtime/projection,
1205,getLinkAnchorPoint,workbench/render/links,
1217,getLinkRetainedKey,workbench/render/links,
1225,getLinkPathData,workbench/render/links,
1241,updateLinkElement,workbench/render/links,
1257,renderLinks,workbench/render/links,
1306,ensureLinkMarkers,workbench/render/links,
1317,createLinkMarker,workbench/render/links,
1334,shouldRenderArrow,workbench/render/links,
1346,getExpandedFrameNodeIds,workbench/runtime/projection,
1366,getFrameRetainedKey,workbench/render/frames,
1370,createFrameElement,workbench/render/frames,
1398,updateFrameElement,workbench/render/frames,
1410,getFrameBounds,workbench/runtime/projection,
1439,renderGroupFrames,workbench/render/frames,
1497,resolveChipToneClass,workbench/shared/utils,
1514,createProgressMarker,workbench/shared/utils,
1532,resolveProgressDisplay,workbench/shared/utils,
1550,createProgressBadge,workbench/shared/utils,
1568,resolveProgressPresetBadgeOptions,workbench/shared/utils,
1600,resolveMarkerGlyph,workbench/shared/utils,
1627,createMarkerBadge,workbench/shared/utils,
1639,createPriorityBadge,workbench/shared/utils,
1650,appendNodeIndicators,workbench/shared/utils,
1678,renderInlineTextNode,workbench/render/nodes,
1697,createNodeMedia,workbench/render/nodes,
1755,createCompactPathButton,workbench/shared/utils,
1784,renderStandardNode,workbench/render/nodes,
1884,createRetainedNodeElement,workbench/render/nodes,
1892,getNodeRetainedContentKey,workbench/shared/utils,
1905,updateNodeElementChrome,workbench/render/nodes,
1939,renderNodeElementContent,workbench/render/nodes,
1949,renderNodes,workbench/render/nodes,
2001,buildActiveDragContext,workbench/interaction/input-routing,
2067,updateDirtyDragNodes,workbench/render/nodes,
2083,updateDirtyDragLinks,workbench/render/links,
2108,updateDirtyDragFrames,workbench/render/frames,
2139,renderActiveDrag,workbench/interaction/input-routing,
2172,positionFloatingOverlayWithinHost,workbench/overlays/html-overlays,
2193,hidePopover,workbench/overlays/html-overlays,
2202,showPopover,workbench/overlays/html-overlays,
2220,invokeAnnotationAction,workbench/shared/utils,
2229,renderNodeAnnotations,workbench/render/nodes,
2264,updateConnectorAnchorHover,workbench/render/links,
2274,getConnectorAnchorPoints,workbench/render/links,
2293,hideStatusNotice,workbench/shared/utils,
2308,showStatusNotice,workbench/shared/utils,
2320,renderEmptyStateOverlay,workbench/state/persistence,
2336,clearSnapGuides,workbench/shared/utils,
2340,renderSnapGuides,workbench/shared/utils,
2381,renderConnectorAnchorOverlay,workbench/render/links,
2443,getSelectionBounds,workbench/runtime/projection,
2477,renderTransformHandlesOverlay,workbench/runtime/projection,
2530,resolveSnapAdjustment,workbench/shared/utils,
2592,renderDebugDecorations,workbench/shared/utils,
2644,buildDiagnosticsSnapshot,workbench/state/persistence,
2667,renderDiagnosticsOverlay,workbench/render/diagnostics,
2712,renderMinimap,workbench/render/minimap,
2778,navigateViaMinimap,workbench/render/minimap,
2825,resolveClipboardAnchor,workbench/shared/utils,
2830,buildClipboardPayload,workbench/shared/utils,
2852,copySelectionToClipboard,workbench/interaction/input-routing,
2890,requestClipboardDuplicate,workbench/shared/utils,
2900,toggleMinimap,workbench/render/minimap,
2906,toggleDiagnostics,workbench/render/diagnostics,
2913,invalidateMeasuredLayout,workbench/shared/utils,
2918,measureRenderedNodeSizes,workbench/runtime/projection,
2959,scheduleNodeMeasurement,workbench/shared/utils,
2972,getHostPoint,workbench/shared/utils,
2980,worldToHostPoint,workbench/runtime/projection,
2998,getWorldPoint,workbench/runtime/projection,
3017,hitTestNode,workbench/interaction/input-routing,
3026,hitTestFrameHandle,workbench/render/frames,
3035,hitTestProgressBadge,workbench/interaction/input-routing,
3039,isOverlayTarget,workbench/overlays/html-overlays,
3043,applyFullTextTooltip,workbench/overlays/html-overlays,
3053,reconcileSelection,workbench/interaction/input-routing,
3064,applySelection,workbench/interaction/input-routing,
3081,selectSingleNode,workbench/interaction/input-routing,
3086,publishSelection,workbench/interaction/input-routing,
3093,clearViewportStateCommit,workbench/state/persistence,
3098,invokeStateChanged,workbench/state/persistence,
3109,publishState,workbench/state/persistence,Keep write-behind semantics and split live versus committed state.
3118,publishStateNow,workbench/state/persistence,
3128,scheduleViewportStateCommit,workbench/state/persistence,Keep idle commit semantics; stop eager server persistence.
3143,publishNodesMoved,workbench/shared/utils,
3156,setSelection,workbench/interaction/input-routing,
