current_path,target_path,purpose
src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbench.razor,src/CanDoItAll.Components.CanvasLib/Components/Workbench/CanvasWorkbench/CanvasWorkbench.razor,Runtime workbench host shell
src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbenchStage.razor,src/CanDoItAll.Components.CanvasLib/Components/Workbench/CanvasWorkbench/Internal/CanvasWorkbenchStage.razor,Internal stage component / shim
src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor,src/CanDoItAll.Components.CanvasLib/Components/Shared/FloatingWindow/CanvasFloatingWindow.razor,Shared runtime floating window
src/CanDoItAll.Components.CanvasLib/Components/AccessibilityMirrorLayer.razor,src/CanDoItAll.Components.CanvasLib/Components/Shared/Accessibility/AccessibilityMirrorLayer.razor,Shared accessibility mirror
src/CanDoItAll.Components.CanvasLib/Canvas/CanvasWorkbenchContracts.cs,src/CanDoItAll.Components.CanvasLib/Canvas/Workbench/Contracts/CanvasWorkbenchContracts.cs,Public typed workbench contracts
src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js,src/CanDoItAll.Components.CanvasLib/wwwroot/js-src/workbench/** -> generated public bundle at existing path,Split workbench JS source tree
src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvas-floating-window.js,src/CanDoItAll.Components.CanvasLib/wwwroot/js-src/floating-window/** -> generated public bundle at existing path,Split floating-window JS source tree
src/CanDoItAll.Components.CanvasLib/wwwroot/canvas-workbench.css,src/CanDoItAll.Components.CanvasLib/wwwroot/css-src/workbench/** -> generated public bundle at existing path,Split CSS source tree
src/CanDoItAll.Components.CanvasLib/Components/CanvasBoundaryCard.razor,src/CanDoItAll.Components.CanvasLib/Components/Preview/Boundary/CanvasBoundaryCard.razor,"Preview/support component, not runtime scene"
src/CanDoItAll.Components.CanvasLib/Components/NodeCardComposer.razor,src/CanDoItAll.Components.CanvasLib/Components/Preview/Boundary/NodeCardComposer.razor,Preview/support component
src/CanDoItAll.Components.CanvasLib/Components/ConnectorPathPrimitive.razor,src/CanDoItAll.Components.CanvasLib/Components/Preview/Boundary/ConnectorPathPrimitive.razor,Preview/support component
src/CanDoItAll.Components.CanvasLib/Components/GroupFrameOverlay.razor,src/CanDoItAll.Components.CanvasLib/Components/Preview/Boundary/GroupFrameOverlay.razor,Preview/support component
src/CanDoItAll.Components.CanvasLib/Components/DiagnosticsOverlay.razor,src/CanDoItAll.Components.CanvasLib/Components/Preview/Boundary/DiagnosticsOverlay.razor,Preview/support component
src/CanDoItAll.Components.CanvasLib/Components/MinimapOverview.razor,src/CanDoItAll.Components.CanvasLib/Components/Preview/Boundary/MinimapOverview.razor,Preview/support component
src/CanDoItAll.Components.CanvasLib/Components/CanvasCalendar.razor,src/CanDoItAll.Components.CanvasLib/Components/Calendar/CanvasCalendar.razor,Calendar consumer root
src/CanDoItAll.Components.CanvasLib/Components/Calendar*.razor,src/CanDoItAll.Components.CanvasLib/Components/Calendar/**,Calendar components stay separate
src/CanDoItAll.Components.CanvasLib/wwwroot/js/*.js (preview shims),src/CanDoItAll.Components.CanvasLib/wwwroot/js-src/preview/** -> optional generated preview bundle,Separate preview-only JS from runtime workbench JS
src/CanDoItAll.Web/Components/App.razor manual includes,src/CanDoItAll.Components.CanvasLib/Components/Shared/Assets/CanvasLibHeadAssets.razor and CanvasLibBodyAssets.razor,Centralized include helpers
src/CanDoItAll.Components.Sandbox/Components/App.razor manual includes,src/CanDoItAll.Components.CanvasLib/Components/Shared/Assets/CanvasLibHeadAssets.razor and CanvasLibBodyAssets.razor,Centralized include helpers
src/CanDoItAll.Modules.Workbench/Components/ProjectStructureCanvas.razor,legacy/reference location or retirement after migration,Legacy real-canvas reference path
src/CanDoItAll.Modules.Workbench/wwwroot/js/workbenchInterop.js,legacy/reference location or retirement after migration,Legacy real-canvas JS reference
