file,line,access,static,async,return_type,method_name
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,112,public,yes,no,bool,TryResolveCreateDefinition
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,115,public,yes,no,bool,TryResolveCreateDefinition
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,127,public,yes,no,CanvasWorkbenchAction,BuildComposerAction
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,130,public,yes,no,string,ResolveNodeLabel
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,161,public,yes,no,string,ResolveProjectBlockLabel
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,186,public,yes,no,IReadOnlyList<CanvasWorkbenchAction>,BuildMenuCreateActions
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,193,public,yes,no,IReadOnlyList<ProjectStructureInspectorCreateGroup>,BuildInspectorCreateGroups
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,209,private,yes,no,IReadOnlyList<string>,BuildTopLevelMenuEntries
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,229,private,yes,no,IReadOnlyList<string>,ResolveInspectorGroupOrder
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,249,private,yes,no,IReadOnlyList<ProjectStructureCreateLeafDefinition>,ResolveGroupLeafDefinitions
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,265,private,yes,no,IReadOnlyList<ProjectStructureCreateLeafDefinition>,ResolvePromptLeafDefinitions
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,275,private,yes,no,IReadOnlyList<ProjectStructureCreateLeafDefinition>,ResolveAssetLeafDefinitions
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,285,private,yes,no,IReadOnlyList<ProjectStructureCreateLeafDefinition>,ResolveBlockLeafDefinitions
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,316,private,yes,no,CanvasWorkbenchAction,BuildCreateGroupAction
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,333,private,yes,no,CanvasWorkbenchAction,BuildCreateLeafAction
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,336,private,yes,no,CanvasWorkbenchAction,BuildCreateLeafAction
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,364,private,yes,no,string,ResolveCreateMenuLabel
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,385,private,yes,no,string,TrimMenuLabel
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,8,public,no,no,IReadOnlyList<CanvasWorkbenchAction>,BuildNodeContextActions
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,94,public,no,no,IReadOnlyList<CanvasWorkbenchAction>,BuildGroupContextActions
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,120,public,no,no,IReadOnlyList<CanvasWorkbenchAction>,BuildQuickCreateActions
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,123,internal,no,no,IReadOnlyList<ProjectStructureInspectorCreateGroup>,BuildInspectorCreateGroups
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,126,public,no,no,bool,TryResolveProgressAction
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,158,public,no,no,bool,TryResolveMarkerAction
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,180,public,no,no,bool,TryResolvePriorityAction
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,191,private,yes,no,IReadOnlyList<CanvasWorkbenchAction>,BuildProjectContextActions
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,257,private,yes,no,CanvasWorkbenchAction,BuildProgressAction
