path,line_count,responsibility
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor,2153,"ProjectStructure runtime page, overlay markup, event handlers, page-level orchestration"
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.ToolWindows.cs,115,"Toolbox window state, search, accordion state"
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.NodeEditing.cs,297,Inspector actions and create/edit mapping
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.NodeQuickActions.cs,236,Double-click and quick action modal behavior
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.ProjectHierarchy.cs,203,Add subproject and reconnect-parent flows
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.RuntimeLaunch.cs,12,Launchable runtime actions
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.SelectionPanel.cs,112,Selection window badges and semantic presentation
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.CreateCatalog.cs,129,Hydration of create groups and dynamic options
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.Workflows.cs,659,"Delete, summary, exports, transcript, mermaid, reconnect, border adoption"
src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbench.razor,723,Shared Blazor wrapper around the renderer and host chrome
src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor,299,Shared floating window component used by ProjectStructure and PromptFactory
src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js,5955,Hot-path renderer/event bridge/runtime state store
src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvas-floating-window.js,517,Floating-window drag/resize and geometry notification bridge
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureGraphAdapter.cs,386,Projection from domain surface to CanvasWorkbench surface
src/CanDoItAll.Modules.Workbench/CanvasAdapters/ProjectStructureActionCatalogAdapter.cs,373,"Context actions, quick create, progress/marker/priority menus"
src/CanDoItAll.Modules.Workbench/ProjectStructureCanvasCatalog.cs,413,Create definitions and toolbox/inspector create groups
src/CanDoItAll.Modules.Workbench/ProjectWorkbenchModels.cs,2176,"Domain service, structure loading, mutations, sync graph"
src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor,3212,Cross-regression consumer of CanvasWorkbench and CanvasFloatingWindow
src/CanDoItAll.Components.Sandbox/Components/Pages/Canvas.razor,230,Sandbox consumer of shared canvas components
tests/CanDoItAll.Tests.Components/ProjectStructurePageTests.cs,1632,bUnit coverage for ProjectStructure functionality
tests/CanDoItAll.Tests.Components/CanvasWorkbenchTests.cs,86,bUnit coverage for shared workbench chrome
tests/CanDoItAll.Tests.Components/CanvasFloatingWindowTests.cs,74,bUnit coverage for shared floating window behavior
tests/CanDoItAll.Tests.Playwright/AppSmokeTests.cs,2858,Browser-level workbench and ProjectStructure screenshot/interaction checks
tests/CanDoItAll.Tests.Playwright/PromptLibraryVerificationTests.cs,1531,PromptFactory canvas regression coverage
