Path,Area,Prefix,Token,Count
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,cda,cda-input,36
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,cda,cda-field-label,32
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.TestLab\Pages\TestLabPage.razor,Modules,cda,cda-input,21
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,cda,cda-input,19
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,cda,cda-treeview,19
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,cda,cda-field-label,17
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,cda,cda-input,16
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-input,15
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,cda,cda-field-label,14
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\TreeViewNodeRow.razor,BaseLib,cda,cda-treeview,14
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\PageHeader.razor,BaseLib,cda,cda-page-header,13
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,cda,cda-tab-menu,13
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--text,10
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,cda,cda-eyebrow,10
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,cda,cda-input,10
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Validation\Pages\ValidationCenterPage.razor,Modules,cda,cda-input,10
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--filled,9
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,cda,cda-button--outlined,9
C:\repositories\CanDoItAll\Tailwind\navigation\page-header.css,Tailwind,cda,cda-page-header,9
