Path,Area,Token,Count
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,text-slate-950,9
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,text-slate-400,8
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\ProjectCalendarPage.razor,Modules,text-slate-500,7
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,text-slate-600,7
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,text-slate-600,7
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\ProjectCalendarPage.razor,Modules,text-slate-950,7
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,border-slate-200,6
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,border-slate-200,6
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,text-slate-500,6
C:\repositories\CanDoItAll\Tailwind\surfaces\cards.css,Tailwind,bg-white,5
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\ProjectCalendarPage.razor,Modules,border-slate-200,5
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,border-white/80,5
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,text-slate-500,5
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,text-slate-500,5
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,text-slate-900,5
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,text-slate-950,5
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,text-white,5
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-slate-50,4
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,bg-slate-50,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\ProjectCalendarPage.razor,Modules,bg-slate-50,4
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-white,4
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,bg-white,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Compatibility\ImmersiveRibbonTabs.razor,BaseLib,bg-white,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\RibbonTabs.razor,BaseLib,bg-white,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\ProjectCalendarPage.razor,Modules,bg-white/85,4
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,border-slate-200,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Compatibility\ImmersiveRibbonTabs.razor,BaseLib,border-slate-200,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\RibbonTabs.razor,BaseLib,border-slate-200,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarTimeGridRenderer.razor,CanvasLib,border-slate-200,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,border-slate-200/80,4
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,border-slate-300,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarSelectionPanel.razor,CanvasLib,text-slate-500,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarSelectionPanel.razor,CanvasLib,text-slate-600,4
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,text-slate-700,4
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,text-slate-700,4
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,text-slate-700,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\TextBlock.razor,BaseLib,text-slate-700,4
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,text-slate-700,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\TextBlock.razor,BaseLib,text-slate-900,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,text-slate-900,4
C:\repositories\CanDoItAll\Tailwind\typography\text.css,Tailwind,text-slate-950,4
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectHierarchyModal.razor,Modules,text-slate-950,4
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,text-white,4
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,bg-rose-50,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Feedback\LoadingState.razor,BaseLib,bg-slate-200,3
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-slate-50,3
C:\repositories\CanDoItAll\Tailwind\surfaces\admin.css,Tailwind,bg-slate-50,3
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,bg-white,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Inputs.razor,Sandbox,bg-white,3
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,bg-white/5,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\Pages\PromptFactoryPage.razor,Modules,bg-white/85,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Lists\ListDetailShell.razor,BaseLib,border-slate-200,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarSelectionPanel.razor,CanvasLib,border-slate-200,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Inputs.razor,Sandbox,border-slate-200,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\Pages\PromptFactoryPage.razor,Modules,border-slate-200,3
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,shadow-slate-200/40,3
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,text-rose-700,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,text-slate-200,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\SmallText.razor,BaseLib,text-slate-500,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Typography\TextBlock.razor,BaseLib,text-slate-500,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\Components\Calendar\CalendarEventEditorModal.razor,CanvasLib,text-slate-500,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,text-slate-500,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\Pages\PromptFactoryPage.razor,Modules,text-slate-500,3
