Path,Area,Route
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Home.razor,Sandbox,/
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Home.razor,WebApp,/
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Error.razor,WebApp,/Error
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Activity\Pages\ActivityPage.razor,Modules,/activity
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Automation\Pages\AutomationPage.razor,Modules,/automation
C:\repositories\CanDoItAll\tests\CanDoItAll.Tests.Integration\CapsuleCatalogServiceIntegrationTests.cs,Tests,/broken
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\Home.razor,WebApp,/dashboard
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Actions.razor,Sandbox,/groups/actions
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Canvas.razor,Sandbox,/groups/canvas
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\CanvasBenchmark.razor,Sandbox,/groups/canvas/benchmark
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\DataDisplay.razor,Sandbox,/groups/data-display
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Feedback.razor,Sandbox,/groups/feedback
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Foundations.razor,Sandbox,/groups/foundations
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Inputs.razor,Sandbox,/groups/inputs
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Layout.razor,Sandbox,/groups/layout
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Navigation.razor,Sandbox,/groups/navigation
C:\repositories\CanDoItAll\src\CanDoItAll.Components.Sandbox\Components\Pages\Overlays.razor,Sandbox,/groups/overlays
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Pages\NotFound.razor,WebApp,/not-found
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\ProjectsPage.razor,Modules,/projects
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workbench\Pages\ProjectCalendarPage.razor,Modules,/projects/{ProjectId:guid}/calendar
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Factory\Pages\PromptFactoryPage.razor,Modules,/prompt-factory
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,/prompt-gallery
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,/resources
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,/settings
