Path,Area,PrefixTokens,DistinctPrefixTokens,ColorTokens,DistinctColorTokens,ThemeHooks,Routes,RoundingTokens
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\wwwroot\js\calendar\core\01-foundation.js,CanvasLib,265,115,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.CanvasLib\wwwroot\js\calendar\controller\02-controller-and-dom.js,CanvasLib,205,83,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Tabs.razor.css,BaseLib,182,34,0,0,0,0,0
C:\repositories\CanDoItAll\Tailwind\controls\buttons.css,Tailwind,65,20,63,36,0,0,4
C:\repositories\CanDoItAll\Tailwind\navigation\workbench-shell.css,Tailwind,28,28,55,32,0,0,16
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Resources\Pages\ResourcesPage.razor,Modules,74,6,8,8,0,1,2
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppShell.razor,LegacyComponents,43,24,29,8,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\Components\ProjectStructureAgentSettingsPanel.razor,Modules,60,16,5,3,0,0,0
C:\repositories\CanDoItAll\Tailwind\navigation\tabs.css,Tailwind,21,11,34,19,0,0,10
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Projects\Pages\Components\ProjectModalHost.razor,Modules,33,5,21,9,0,0,1
C:\repositories\CanDoItAll\Tailwind\navigation\treeview.css,Tailwind,25,3,26,22,0,0,3
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Prompts\Pages\PromptGalleryPage.razor,Modules,30,7,21,3,0,1,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.Workspace\Pages\SettingsPage.razor,Modules,46,5,4,2,0,1,0
C:\repositories\CanDoItAll\Tailwind\layout\stats.css,Tailwind,26,12,19,17,0,0,2
C:\repositories\CanDoItAll\src\CanDoItAll.Web\Components\Layout\MainLayout.razor,WebApp,22,10,23,9,0,0,0
C:\repositories\CanDoItAll\Tailwind\forms\fields.css,Tailwind,27,13,14,7,0,0,3
C:\repositories\CanDoItAll\src\CanDoItAll.Components\Components\AppTabStrip.razor,LegacyComponents,32,11,9,5,0,0,1
C:\repositories\CanDoItAll\Tailwind\forms\tag-editor.css,Tailwind,40,2,0,0,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Modules.TestLab\Pages\TestLabPage.razor,Modules,31,5,2,2,0,0,0
C:\repositories\CanDoItAll\src\CanDoItAll.Components.BaseLib\Components\Navigation\Steps.razor,BaseLib,1,1,31,23,0,0,6
